"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
4001,93.9,93.9,6.1,"Aarau AG","Die Gemeinde Aarau hat die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf mit 93,9 Prozent Ja-Stimmen angenommen. Aarau hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4002,60.5,60.5,39.5,"Biberstein AG","Ja zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Biberstein: Mit 60,5 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen. Biberstein hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4003,55.2,55.2,44.8,"Buchs AG","Die Gemeinde Buchs AG hat die Änderung des Mietrechts zur vereinfachten Kündigung wegen Eigenbedarfs mit 55,2 Prozent angenommen. Buchs AG hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4004,92,92,8,"Densbüren AG","Die Gemeinde Densbüren hat die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf mit 92 Prozent Ja-Stimmen angenommen. Densbüren hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4005,13.4,13.4,86.6,"Erlinsbach AG","Nein zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf  in Erlinsbach AG: Mit 9'397 Nein- zu 1'460 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 86,6 Prozent. Erlinsbach AG hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4006,58.9,58.9,41.1,"Gränichen AG","In Gränichen hat die Stimmbevölkerung der Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 58,9 Prozent angenommen. Gränichen hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4007,68.3,68.3,31.7,"Hirschthal AG","In Hirschthal hat die Stimmbevölkerung der Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 68,3 Prozent angenommen. Hirschthal hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4008,87.9,87.9,12.1,"Küttigen AG","Die Gemeinde Küttigen hat die Änderung des Mietrechts zur vereinfachten Kündigung wegen Eigenbedarfs mit 87,9 Prozent angenommen. Küttigen hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4009,64.7,64.7,35.3,"Muhen AG","In Muhen hat die Stimmbevölkerung der Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 64,7 Prozent angenommen. Muhen hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4010,37.4,37.4,62.6,"Oberentfelden AG","Keine Mehrheit für die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Oberentfelden: Mit 6'166 Nein-Stimmen zu 3'688 Ja-Stimmen oder 62,6 Prozent hat die Gemeinde die Vorlage verworfen. Oberentfelden hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
4012,79.1,79.1,20.9,"Suhr AG","79,1 Prozent der Abstimmenden in der Gemeinde Suhr haben Ja gesagt zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf. Suhr hat damit anders abgestimmt als der Kanton Aargau, der die Vorlage abgelehnt hat."
4013,18.4,18.4,81.6,"Unterentfelden AG","In Unterentfelden hat die Stimmbevölkerung die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 81,6 Prozent verworfen. Unterentfelden hat damit gleich wie der Kanton Aargau Nein gesagt zu dieser Vorlage."
