"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
4001,50,0,0,"Aarau (AG)","Les résultats ne sont pas encore connus dans cette commune."
4002,50,0,0,"Biberstein (AG)","Les résultats ne sont pas encore connus dans cette commune."
4003,50,0,0,"Buchs (AG)","Les résultats ne sont pas encore connus dans cette commune."
4004,50,0,0,"Densbüren (AG)","Les résultats ne sont pas encore connus dans cette commune."
4005,50,0,0,"Erlinsbach (AG)","Les résultats ne sont pas encore connus dans cette commune."
4006,50,0,0,"Gränichen (AG)","Les résultats ne sont pas encore connus dans cette commune."
4007,50,0,0,"Hirschthal (AG)","Les résultats ne sont pas encore connus dans cette commune."
4008,50,0,0,"Küttigen (AG)","Les résultats ne sont pas encore connus dans cette commune."
4009,50,0,0,"Muhen (AG)","Les résultats ne sont pas encore connus dans cette commune."
4010,50,0,0,"Oberentfelden (AG)","Les résultats ne sont pas encore connus dans cette commune."
4012,50,0,0,"Suhr (AG)","Les résultats ne sont pas encore connus dans cette commune."
4013,50,0,0,"Unterentfelden (AG)","Les résultats ne sont pas encore connus dans cette commune."
4021,50,0,0,"Baden (AG)","Les résultats ne sont pas encore connus dans cette commune."
4022,50,0,0,"Bellikon (AG)","Les résultats ne sont pas encore connus dans cette commune."
4023,50,0,0,"Bergdietikon (AG)","Les résultats ne sont pas encore connus dans cette commune."
4024,50,0,0,"Birmenstorf (AG)","Les résultats ne sont pas encore connus dans cette commune."
4026,50,0,0,"Ennetbaden (AG)","Les résultats ne sont pas encore connus dans cette commune."
4027,50,0,0,"Fislisbach (AG)","Les résultats ne sont pas encore connus dans cette commune."
4028,50,0,0,"Freienwil (AG)","Les résultats ne sont pas encore connus dans cette commune."
4029,50,0,0,"Gebenstorf (AG)","Les résultats ne sont pas encore connus dans cette commune."
4030,50,0,0,"Killwangen (AG)","Les résultats ne sont pas encore connus dans cette commune."
4031,50,0,0,"Künten (AG)","Les résultats ne sont pas encore connus dans cette commune."
4032,50,0,0,"Mägenwil (AG)","Les résultats ne sont pas encore connus dans cette commune."
4033,50,0,0,"Mellingen (AG)","Les résultats ne sont pas encore connus dans cette commune."
4034,50,0,0,"Neuenhof (AG)","Les résultats ne sont pas encore connus dans cette commune."
4035,50,0,0,"Niederrohrdorf (AG)","Les résultats ne sont pas encore connus dans cette commune."
4037,50,0,0,"Oberrohrdorf (AG)","Les résultats ne sont pas encore connus dans cette commune."
4038,50,0,0,"Obersiggenthal (AG)","Les résultats ne sont pas encore connus dans cette commune."
4039,50,0,0,"Remetschwil (AG)","Les résultats ne sont pas encore connus dans cette commune."
4040,50,0,0,"Spreitenbach (AG)","Les résultats ne sont pas encore connus dans cette commune."
4041,50,0,0,"Stetten (AG)","Les résultats ne sont pas encore connus dans cette commune."
4044,50,0,0,"Untersiggenthal (AG)","Les résultats ne sont pas encore connus dans cette commune."
4045,50,0,0,"Wettingen (AG)","Les résultats ne sont pas encore connus dans cette commune."
4046,50,0,0,"Wohlenschwil (AG)","Les résultats ne sont pas encore connus dans cette commune."
4047,50,0,0,"Würenlingen (AG)","Les résultats ne sont pas encore connus dans cette commune."
4048,50,0,0,"Würenlos (AG)","Les résultats ne sont pas encore connus dans cette commune."
