"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
3001,41.6,41.6,58.4,"Herisau AR","Herisau hat die einheitliche Finanzierung der Leistungen im Gesundheitswesen mit 58,4 Prozent Nein-Stimmen verworfen. Herisau hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3002,10.3,10.3,89.7,"Hundwil AR","In Hundwil hat die einheitliche Finanzierung der Leistungen im Gesundheitswesen keine Mehrheit gefunden: 89,7 Prozent haben die Vorlage abgelehnt. Hundwil hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Appenzell Ausserrhoden."
3003,39.6,39.6,60.4,"Schönengrund AR","60,4 Prozent der Stimmbürgerinnen und Stimmbürger von Schönengrund haben sich gegen die einheitliche Finanzierung der Leistungen im Gesundheitswesen ausgesprochen. Schönengrund hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3004,70.5,70.5,29.5,"Schwellbrunn AR","Mit 70,5 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Schwellbrunn die einheitliche Finanzierung der Leistungen im Gesundheitswesen befürwortet. Schwellbrunn hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3005,40.1,40.1,59.9,"Stein AR","59,9 Prozent der Stimmbürgerinnen und Stimmbürger von Stein AR haben sich gegen die einheitliche Finanzierung der Leistungen im Gesundheitswesen ausgesprochen. Stein AR hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3006,62.7,62.7,37.3,"Urnäsch AR","Mit 62,7 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Urnäsch die einheitliche Finanzierung der Leistungen im Gesundheitswesen befürwortet. Urnäsch hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3007,60.7,60.7,39.3,"Waldstatt AR","60,7 Prozent der Stimmbürgerinnen und Stimmbürger in Waldstatt haben Ja gesagt zur einheitliche Finanzierung der Leistungen im Gesundheitswesen. Waldstatt hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3021,55.3,55.3,44.7,"Bühler AR","Ja zur einheitlichen Finanzierung der Leistungen im Gesundheitswesen in Bühler. Die Gemeinde hat die Vorlage mit 55,3 Prozent der Stimmen angenommen. Bühler hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3022,22.8,22.8,77.2,"Gais AR","Mit 9'564 Nein zu 2'818 Ja haben die Stimmbürgerinnen und Stimmbürger von Gais die einheitliche Finanzierung der Leistungen im Gesundheitswesen abgelehnt. Das sind 77,2 Prozent. Gais hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3023,69.4,69.4,30.6,"Speicher AR","Ja zur einheitlichen Finanzierung der Leistungen im Gesundheitswesen in Speicher. Die Gemeinde hat die Vorlage mit 69,4 Prozent der Stimmen angenommen. Speicher hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3024,68.7,68.7,31.3,"Teufen AR","68,7 Prozent der Stimmbürgerinnen und Stimmbürger von Teufen AR haben sich für die einheitliche Finanzierung der Leistungen im Gesundheitswesen ausgesprochen. Teufen AR hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3025,51.4,51.4,48.6,"Trogen AR","Mit 51,4 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Trogen die einheitliche Finanzierung der Leistungen im Gesundheitswesen befürwortet. Trogen hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3031,19.1,19.1,80.9,"Grub AR","Grub AR hat die einheitliche Finanzierung der Leistungen im Gesundheitswesen mit 80,9 Prozent Nein-Stimmen verworfen. Grub AR hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3032,82.8,82.8,17.2,"Heiden AR","Ja zur einheitlichen Finanzierung der Leistungen im Gesundheitswesen in Heiden. Die Gemeinde hat die Vorlage mit 82,8 Prozent der Stimmen angenommen. Heiden hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3033,25.5,25.5,74.5,"Lutzenberg AR","Mit 8'947 Nein zu 3'055 Ja haben die Stimmbürgerinnen und Stimmbürger von Lutzenberg die einheitliche Finanzierung der Leistungen im Gesundheitswesen abgelehnt. Das sind 74,5 Prozent. Lutzenberg hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3034,23.6,23.6,76.4,"Rehetobel AR","Mit 6'006 Nein zu 1'853 Ja haben die Stimmbürgerinnen und Stimmbürger von Rehetobel die einheitliche Finanzierung der Leistungen im Gesundheitswesen abgelehnt. Das sind 76,4 Prozent. Rehetobel hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3035,82.9,82.9,17.1,"Reute AR","82,9 Prozent der Stimmbürgerinnen und Stimmbürger von Reute AR haben sich für die einheitliche Finanzierung der Leistungen im Gesundheitswesen ausgesprochen. Reute AR hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
