"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
301,52.7,52.7,47.3,"Aarberg BE","Die Änderung des Mietrechts bei Untermiete ist in Aarberg mit 52,7 Prozent der Stimmen angenommen worden. Aarberg hat damit anders abgestimmt als der Kanton Bern, der die Vorlage abgelehnt hat."
302,57.7,57.7,42.3,"Bargen BE","Ja zur Änderung des Mietrechts bei Untermiete in Bargen BE. Die Gemeinde hat Vorlage mit 57,7 Prozent der Stimmen angenommen. Bargen BE hat damit anders abgestimmt als der Kanton Bern, der die Vorlage abgelehnt hat."
303,57.5,57.5,42.5,"Grossaffoltern BE","57,5 Prozent der Stimmbürgerinnen und Stimmbürger von Grossaffoltern haben sich für die Änderung des Mietrechts bei Untermiete ausgesprochen. Grossaffoltern hat damit anders abgestimmt als der Kanton Bern, der die Vorlage abgelehnt hat."
304,59.1,59.1,40.9,"Kallnach BE","59,1 Prozent der Stimmbürgerinnen und Stimmbürger in Kallnach haben Ja gesagt zur Pensionskassenreform. Kallnach hat damit anders abgestimmt als der Kanton Bern, der die Vorlage abgelehnt hat."
305,58.6,58.6,41.4,"Kappelen BE","Ja zur Änderung des Mietrechts bei Untermiete in Kappelen. Die Gemeinde hat Vorlage mit 58,6 Prozent der Stimmen angenommen. Kappelen hat damit anders abgestimmt als der Kanton Bern, der die Vorlage abgelehnt hat."
306,48,48,52,"Lyss BE","Lyss ist gegen die Änderung des Mietrechts bei Untermiete: Die Gemeinde hat die Vorlage mit 52 Prozent Nein verworfen. Lyss hat damit gleich wie der Kanton Bern Nein gesagt zu dieser Vorlage."
307,53.4,53.4,46.6,"Meikirch BE","Mit 572 Ja zu 500 Nein hat sich Meikirch für die Änderung des Mietrechts bei Untermiete ausgesprochen. Das entspricht einem Ja-Stimmen-Anteil von 53,4 Prozent. Meikirch hat damit anders abgestimmt als der Kanton Bern, der die Vorlage abgelehnt hat."
309,55.6,55.6,44.4,"Radelfingen BE","Die Änderung des Mietrechts bei Untermiete ist in Radelfingen mit 55,6 Prozent der Stimmen angenommen worden. Radelfingen hat damit anders abgestimmt als der Kanton Bern, der die Vorlage abgelehnt hat."
310,60.7,60.7,39.3,"Rapperswil BE","Mit 60,7 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Rapperswil BE für die Änderung des Mietrechts bei Untermiete gestimmt. Rapperswil BE hat damit anders abgestimmt als der Kanton Bern, der die Vorlage abgelehnt hat."
311,49.8,49.8,50.2,"Schüpfen BE","50,2 Prozent der Stimmbürgerinnen und Stimmbürger von Schüpfen haben sich gegen die Änderung des Mietrechts bei Untermiete ausgesprochen. Schüpfen hat damit gleich wie der Kanton Bern Nein gesagt zu dieser Vorlage."
