"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2761,34.5,34.5,65.5,"Aesch BL","Aesch BL hat den Bundesbeschluss über den Ausbau der Autobahnen mit 65,5 Prozent abgelehnt. Aesch BL hat damit anders abgestimmt als der Kanton Basel-Landschaft, der die Vorlage angenommen hat."
2762,29.8,29.8,70.2,"Allschwil BL","70,2 Prozent der Stimmbürgerinnen und Stimmbürger von Allschwil sagen Nein zum Bundesbeschluss über den Ausbau der Autobahnen. Allschwil hat damit anders abgestimmt als der Kanton Basel-Landschaft, der die Vorlage angenommen hat."
2763,36.1,36.1,63.9,"Arlesheim BL","Nein zum Bundesbeschluss über den Ausbau der Autobahnen in Arlesheim. Die Gemeinde hat die Vorlage mit 63,9 Prozent abgelehnt. Arlesheim hat damit anders abgestimmt als der Kanton Basel-Landschaft, der die Vorlage angenommen hat."
2764,55.5,55.5,44.5,"Biel-Benken BL","55,5 Prozent der Stimmbürgerinnen und Stimmbürger von Biel-Benken haben den Bundesbeschluss über den Ausbau der Autobahnen angenommen. Biel-Benken hat damit gleich wie der Kanton Basel-Landschaft Ja gesagt zu dieser Vorlage."
2765,86,86,14,"Binningen BL","Die Gemeinde Binningen hat den Bundesbeschluss über den Ausbau der Autobahnen mit 86 Prozent angenommen. Binningen hat damit gleich wie der Kanton Basel-Landschaft Ja gesagt zu dieser Vorlage."
2766,84.3,84.3,15.7,"Birsfelden BL","Ja zum Bundesbeschluss über den Ausbau der Autobahnen in Birsfelden: Mit 84,3 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen. Birsfelden hat damit gleich wie der Kanton Basel-Landschaft Ja gesagt zu dieser Vorlage."
2767,43.3,43.3,56.7,"Bottmingen BL","In Bottmingen hat die Stimmbevölkerung den Bundesbeschluss über den Ausbau der Autobahnen abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 56,7 Prozent verworfen. Bottmingen hat damit anders abgestimmt als der Kanton Basel-Landschaft, der die Vorlage angenommen hat."
2768,45,45,55,"Ettingen BL","In Ettingen hat die Stimmbevölkerung den Bundesbeschluss über den Ausbau der Autobahnen abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 55 Prozent verworfen. Ettingen hat damit anders abgestimmt als der Kanton Basel-Landschaft, der die Vorlage angenommen hat."
2769,74.5,74.5,25.5,"Münchenstein BL","Die Gemeinde Münchenstein hat den Bundesbeschluss über den Ausbau der Autobahnen mit 74,5 Prozent angenommen. Münchenstein hat damit gleich wie der Kanton Basel-Landschaft Ja gesagt zu dieser Vorlage."
2770,53.3,53.3,46.7,"Muttenz BL","53,3 Prozent der Stimmbürgerinnen und Stimmbürger von Muttenz haben den Bundesbeschluss über den Ausbau der Autobahnen angenommen. Muttenz hat damit gleich wie der Kanton Basel-Landschaft Ja gesagt zu dieser Vorlage."
2771,57.4,57.4,42.6,"Oberwil BL","In Oberwil BL hat die Stimmbevölkerung dem Bundesbeschluss über den Ausbau der Autobahnen zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 57,4 Prozent angenommen. Oberwil BL hat damit gleich wie der Kanton Basel-Landschaft Ja gesagt zu dieser Vorlage."
2772,64,64,36,"Pfeffingen BL","64 Prozent der Abstimmenden in der Gemeinde Pfeffingen haben Ja gesagt zum Bundesbeschluss über den Ausbau der Autobahnen. Pfeffingen hat damit gleich wie der Kanton Basel-Landschaft Ja gesagt zu dieser Vorlage."
2773,54.9,54.9,45.1,"Reinach BL","Die Gemeinde Reinach BL hat den Bundesbeschluss über den Ausbau der Autobahnen mit 54,9 Prozent Ja-Stimmen angenommen. Reinach BL hat damit gleich wie der Kanton Basel-Landschaft Ja gesagt zu dieser Vorlage."
2774,11.8,11.8,88.2,"Schönenbuch BL","In Schönenbuch hat die Stimmbevölkerung den Bundesbeschluss über den Ausbau der Autobahnen abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 88,2 Prozent verworfen. Schönenbuch hat damit anders abgestimmt als der Kanton Basel-Landschaft, der die Vorlage angenommen hat."
2775,30.6,30.6,69.4,"Therwil BL","69,4 Prozent der Stimmbürgerinnen und Stimmbürger von Therwil sagen Nein zum Bundesbeschluss über den Ausbau der Autobahnen. Therwil hat damit anders abgestimmt als der Kanton Basel-Landschaft, der die Vorlage angenommen hat."
2781,71.6,71.6,28.4,"Blauen BL","Die Gemeinde Blauen hat den Bundesbeschluss über den Ausbau der Autobahnen mit 71,6 Prozent angenommen. Blauen hat damit gleich wie der Kanton Basel-Landschaft Ja gesagt zu dieser Vorlage."
