"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
2008,34.8,34.8,65.2,"Châtillon (FR)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée n'a pas trouvé grâce aux yeux des citoyens de Châtillon (FR). Ils ont refusé le texte à 65,2 pour cent. Châtillon (FR) a rejeté la réforme, contrairement à son canton."
2011,87.9,87.9,12.1,"Cugy (FR)","Les habitants de Cugy (FR) acceptent avec 87,9 pour cent de oui le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Cugy (FR) a approuvé la réforme, tout comme son canton."
2016,12.6,12.6,87.4,"Fétigny (FR)","C'est non au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée à Fétigny. Les habitants ont refusé le texte à 87,4 pour cent. Fétigny a rejeté la réforme, contrairement à son canton."
2022,72.8,72.8,27.2,"Gletterens (FR)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée est approuvé à Gletterens par 72,8 pour cent des votants. Gletterens a approuvé la réforme, tout comme son canton."
2025,22.9,22.9,77.1,"Lully (FR)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée n'a pas convaincu à Lully (FR). Les citoyens de la commune ont refusé le texte à 77,1 pour cent. Lully (FR) a rejeté la réforme, contrairement à son canton."
2027,50.3,50.3,49.7,"Ménières (FR)","Les habitants de Ménières soutiennent à 50,3 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Ménières a approuvé la réforme, tout comme son canton."
2029,74.8,74.8,25.2,"Montagny (FR)","La population de Montagny (FR) approuve à 74,8 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Montagny (FR) a approuvé la réforme, tout comme son canton."
2035,55.5,55.5,44.5,"Nuvilly (FR)","La population de Nuvilly approuve à 55,5 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Nuvilly a approuvé la réforme, tout comme son canton."
2038,48.5,48.5,51.5,"Prévondavaux (FR)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée est refusé à 51,5 pour cent à Prévondavaux. Prévondavaux a rejeté la réforme, contrairement à son canton."
2041,42.6,42.6,57.4,"Saint-Aubin (FR)","Les habitants de Saint-Aubin (FR) s'opposent au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée par 57,4 pour cent des voix. Saint-Aubin (FR) a rejeté la réforme, contrairement à son canton."
2043,27.8,27.8,72.2,"Sévaz (FR)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée n'a pas trouvé grâce aux yeux des citoyens de Sévaz. Ils ont refusé le texte à 72,2 pour cent. Sévaz a rejeté la réforme, contrairement à son canton."
2044,56.5,56.5,43.5,"Surpierre (FR)","Les habitants de Surpierre soutiennent à 56,5 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Surpierre a approuvé la réforme, tout comme son canton."
2045,51.3,51.3,48.7,"Vallon (FR)","Vallon dit oui à 51,3 pour cent au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Vallon a approuvé la réforme, tout comme son canton."
2050,60.9,60.9,39.1,"Les Montets (FR)","Les habitants des Montets soutiennent à 60,9 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Les Montets a approuvé la réforme, tout comme son canton."
2051,65.1,65.1,34.9,"Delley-Portalban (FR)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée est approuvé à Delley-Portalban par 65,1 pour cent des votants. Delley-Portalban a approuvé la réforme, tout comme son canton."
2053,65.8,65.8,34.2,"Belmont-Broye (FR)","Les habitants de Belmont-Broye acceptent avec 65,8 pour cent de oui le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Belmont-Broye a approuvé la réforme, tout comme son canton."
2054,38.6,38.6,61.4,"Estavayer (FR)","La population d'Estavayer rejette à 61,4 pour cent des voix le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Estavayer a rejeté la réforme, contrairement à son canton."
2055,62.2,62.2,37.8,"Cheyres-Châbles (FR)","Les habitants de Cheyres-Châbles soutiennent à 62,2 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Cheyres-Châbles a approuvé la réforme, tout comme son canton."
2061,75.4,75.4,24.6,"Auboranges (FR)","Les habitants d'Auboranges soutiennent à 75,4 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Auboranges a approuvé la réforme, tout comme son canton."
2063,32.8,32.8,67.2,"Billens-Hennens (FR)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée est refusé à 67,2 pour cent à Billens-Hennens. Billens-Hennens a rejeté la réforme, contrairement à son canton."
2066,46.4,46.4,53.6,"Chapelle (Glâne) (FR)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée n'a pas convaincu à Chapelle (Glâne). Les citoyens de la commune ont refusé le texte à 53,6 pour cent. Chapelle (Glâne) a rejeté la réforme, contrairement à son canton."
2067,68,68,32,"Le Châtelard (FR)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée passe la rampe avec 68 pour cent de oui au Châtelard. Le Châtelard a approuvé la réforme, tout comme son canton."
2068,31.9,31.9,68.1,"Châtonnaye (FR)","C'est non au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée à Châtonnaye. Les habitants ont refusé le texte à 68,1 pour cent. Châtonnaye a rejeté la réforme, contrairement à son canton."
2072,97,97,3,"Ecublens (FR)","Les habitants d'Ecublens (FR) acceptent avec 97 pour cent de oui le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Ecublens (FR) a approuvé la réforme, tout comme son canton."
2079,59.1,59.1,40.9,"Grangettes (FR)","Les habitants de Grangettes acceptent avec 59,1 pour cent de oui le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Grangettes a approuvé la réforme, tout comme son canton."
2086,84.2,84.2,15.8,"Massonnens (FR)","Les habitants de Massonnens acceptent avec 84,2 pour cent de oui le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Massonnens a approuvé la réforme, tout comme son canton."
