"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6601,81.1,81.1,18.9,"Aire-la-Ville (GE)","La population d'Aire-la-Ville approuve à 81,1 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Aire-la-Ville a approuvé la réforme, tout comme son canton."
6602,45.4,45.4,54.6,"Anières (GE)","La population d'Anières rejette à 54,6 pour cent des voix le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Anières a rejeté la réforme, contrairement à son canton."
6603,55.7,55.7,44.3,"Avully (GE)","Avully dit oui à 55,7 pour cent au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Avully a approuvé la réforme, tout comme son canton."
6604,89.8,89.8,10.2,"Avusy (GE)","A Avusy, les habitants disent oui à  89,8 pour cent au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Avusy a approuvé la réforme, tout comme son canton."
6605,53.2,53.2,46.8,"Bardonnex (GE)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée passe la rampe avec 53,2 pour cent de oui à Bardonnex. Bardonnex a approuvé la réforme, tout comme son canton."
6606,56.9,56.9,43.1,"Bellevue (GE)","Bellevue dit oui à 56,9 pour cent au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Bellevue a approuvé la réforme, tout comme son canton."
6607,39.5,39.5,60.5,"Bernex (GE)","Les habitants de Bernex s'opposent au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée par 60,5 pour cent des voix. Bernex a rejeté la réforme, contrairement à son canton."
6608,29.2,29.2,70.8,"Carouge (GE)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée n'a pas convaincu à Carouge (GE). Les citoyens de la commune ont refusé le texte à 70,8 pour cent. Carouge (GE) a rejeté la réforme, contrairement à son canton."
6609,44.8,44.8,55.2,"Cartigny (GE)","C'est non au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée à Cartigny. Les habitants ont refusé le texte à 55,2 pour cent. Cartigny a rejeté la réforme, contrairement à son canton."
6610,35.3,35.3,64.7,"Céligny (GE)","La population de Céligny rejette à 64,7 pour cent des voix le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Céligny a rejeté la réforme, contrairement à son canton."
6611,39.1,39.1,60.9,"Chancy (GE)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée n'a pas convaincu à Chancy. Les citoyens de la commune ont refusé le texte à 60,9 pour cent. Chancy a rejeté la réforme, contrairement à son canton."
6612,68.4,68.4,31.6,"Chêne-Bougeries (GE)","La population de Chêne-Bougeries approuve à 68,4 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Chêne-Bougeries a approuvé la réforme, tout comme son canton."
6613,40.8,40.8,59.2,"Chêne-Bourg (GE)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée est refusé à 59,2 pour cent à Chêne-Bourg. Chêne-Bourg a rejeté la réforme, contrairement à son canton."
6614,46,46,54,"Choulex (GE)","La population de Choulex rejette à 54 pour cent des voix le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Choulex a rejeté la réforme, contrairement à son canton."
6615,44.7,44.7,55.3,"Collex-Bossy (GE)","A Collex-Bossy, les citoyens rejettent à 55,3 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Collex-Bossy a rejeté la réforme, contrairement à son canton."
6616,72,72,28,"Collonge-Bellerive (GE)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée est approuvé à Collonge-Bellerive par 72 pour cent des votants. Collonge-Bellerive a approuvé la réforme, tout comme son canton."
6617,60.1,60.1,39.9,"Cologny (GE)","A Cologny, les habitants disent oui à  60,1 pour cent au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Cologny a approuvé la réforme, tout comme son canton."
6618,93.1,93.1,6.9,"Confignon (GE)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée est approuvé à Confignon par 93,1 pour cent des votants. Confignon a approuvé la réforme, tout comme son canton."
6619,65.5,65.5,34.5,"Corsier (GE)","Corsier (GE) dit oui à 65,5 pour cent au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Corsier (GE) a approuvé la réforme, tout comme son canton."
6620,38.3,38.3,61.7,"Dardagny (GE)","Les habitants de Dardagny s'opposent au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée par 61,7 pour cent des voix. Dardagny a rejeté la réforme, contrairement à son canton."
6621,50.9,50.9,49.1,"Genève (GE)","Les habitants de Genève acceptent avec 50,9 pour cent de oui le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Genève a approuvé la réforme, tout comme son canton."
6622,91.1,91.1,8.9,"Genthod (GE)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée passe la rampe avec 91,1 pour cent de oui à Genthod. Genthod a approuvé la réforme, tout comme son canton."
6623,23.4,23.4,76.6,"Le Grand-Saconnex (GE)","La population du Grand-Saconnex rejette à 76,6 pour cent des voix le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Le Grand-Saconnex a rejeté la réforme, contrairement à son canton."
6624,62.2,62.2,37.8,"Gy (GE)","La population de Gy approuve à 62,2 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Gy a approuvé la réforme, tout comme son canton."
6625,83.4,83.4,16.6,"Hermance (GE)","Les habitants d'Hermance soutiennent à 83,4 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Hermance a approuvé la réforme, tout comme son canton."
6626,63.4,63.4,36.6,"Jussy (GE)","Les habitants de Jussy soutiennent à 63,4 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Jussy a approuvé la réforme, tout comme son canton."
6627,70.1,70.1,29.9,"Laconnex (GE)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée est approuvé à Laconnex par 70,1 pour cent des votants. Laconnex a approuvé la réforme, tout comme son canton."
6628,5.8,5.8,94.2,"Lancy (GE)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée est refusé à 94,2 pour cent à Lancy. Le plus fort pourcentage de non du canton de Genève a été obtenu à Lancy."
6629,70.9,70.9,29.1,"Meinier (GE)","La population de Meinier approuve à 70,9 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Meinier a approuvé la réforme, tout comme son canton."
6630,14.7,14.7,85.3,"Meyrin (GE)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée n'a pas trouvé grâce aux yeux des citoyens de Meyrin. Ils ont refusé le texte à 85,3 pour cent. Meyrin a rejeté la réforme, contrairement à son canton."
6631,52.8,52.8,47.2,"Onex (GE)","La population d'Onex approuve à 52,8 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Onex a approuvé la réforme, tout comme son canton."
6632,7.5,7.5,92.5,"Perly-Certoux (GE)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée n'a pas convaincu à Perly-Certoux. Les citoyens de la commune ont refusé le texte à 92,5 pour cent. Perly-Certoux a rejeté la réforme, contrairement à son canton."
6633,37.7,37.7,62.3,"Plan-les-Ouates (GE)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée est refusé à 62,3 pour cent à Plan-les-Ouates. Plan-les-Ouates a rejeté la réforme, contrairement à son canton."
6634,44.2,44.2,55.8,"Pregny-Chambésy (GE)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée est refusé à 55,8 pour cent à Pregny-Chambésy. Pregny-Chambésy a rejeté la réforme, contrairement à son canton."
6635,62.3,62.3,37.7,"Presinge (GE)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée passe la rampe avec 62,3 pour cent de oui à Presinge. Presinge a approuvé la réforme, tout comme son canton."
6636,11.2,11.2,88.8,"Puplinge (GE)","La population de Puplinge rejette à 88,8 pour cent des voix le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Puplinge a rejeté la réforme, contrairement à son canton."
6637,67.8,67.8,32.2,"Russin (GE)","Les habitants de Russin acceptent avec 67,8 pour cent de oui le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Russin a approuvé la réforme, tout comme son canton."
6638,65.6,65.6,34.4,"Satigny (GE)","Satigny dit oui à 65,6 pour cent au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Satigny a approuvé la réforme, tout comme son canton."
