"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
6601,31.1,31.1,68.9,"Aire-la-Ville (GE)","NA NA"
6602,57.8,57.8,42.2,"Anières (GE)","Text NA"
6603,14.3,14.3,85.7,"Avully (GE)","NA NA"
6604,43.6,43.6,56.4,"Avusy (GE)","NA NA"
6605,75.5,75.5,24.5,"Bardonnex (GE)","NA NA"
6606,35.2,35.2,64.8,"Bellevue (GE)","NA NA"
6607,1.2,1.2,98.8,"Bernex (GE)","NA NA"
6608,69.5,69.5,30.5,"Carouge (GE)","Text NA"
6609,71.9,71.9,28.1,"Cartigny (GE)","NA NA"
6610,32.8,32.8,67.2,"Céligny (GE)","NA NA"
6611,47.7,47.7,52.3,"Chancy (GE)","NA NA"
6612,35,35,65,"Chêne-Bougeries (GE)","NA NA"
6613,9.4,9.4,90.6,"Chêne-Bourg (GE)","NA NA"
6614,18.1,18.1,81.9,"Choulex (GE)","NA NA"
6615,33.7,33.7,66.3,"Collex-Bossy (GE)","NA NA"
6616,24.6,24.6,75.4,"Collonge-Bellerive (GE)","NA NA"
6617,65.4,65.4,34.6,"Cologny (GE)","NA NA"
6618,40,40,60,"Confignon (GE)","NA NA"
6619,55.6,55.6,44.4,"Corsier (GE)","NA NA"
6620,57.8,57.8,42.2,"Dardagny (GE)","NA NA"
6621,58.1,58.1,41.9,"Ginevra (GE)","Text NA"
6622,71,71,29,"Genthod (GE)","NA NA"
6623,43.1,43.1,56.9,"Le Grand-Saconnex (GE)","NA NA"
6624,51.5,51.5,48.5,"Gy (GE)","Text NA"
6625,57.5,57.5,42.5,"Hermance (GE)","NA NA"
6626,7.9,7.9,92.1,"Jussy (GE)","NA NA"
6627,26.6,26.6,73.4,"Laconnex (GE)","NA NA"
6628,52.7,52.7,47.3,"Lancy (GE)","Text NA"
6629,83.7,83.7,16.3,"Meinier (GE)","Text NA"
6630,93.1,93.1,6.9,"Meyrin (GE)","NA NA"
6631,44,44,56,"Onex (GE)","NA NA"
6632,62.1,62.1,37.9,"Perly-Certoux (GE)","Text NA"
6633,52.8,52.8,47.2,"Plan-les-Ouates (GE)","Text NA"
6634,69,69,31,"Pregny-Chambésy (GE)","Text NA"
6635,47.3,47.3,52.7,"Presinge (GE)","NA NA"
6636,7.1,7.1,92.9,"Puplinge (GE)","NA NA"
6637,55.6,55.6,44.4,"Russin (GE)","Text NA"
6638,55.4,55.4,44.6,"Satigny (GE)","NA NA"
6639,22.6,22.6,77.4,"Soral (GE)","NA NA"
6640,55.7,55.7,44.3,"Thônex (GE)","NA NA"
6641,44.3,44.3,55.7,"Troinex (GE)","NA NA"
6642,51.3,51.3,48.7,"Vandoeuvres (GE)","NA NA"
6643,38.6,38.6,61.4,"Vernier (GE)","NA NA"
6644,31.6,31.6,68.4,"Versoix (GE)","NA NA"
6645,95.4,95.4,4.6,"Veyrier (GE)","NA NA"
