"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
3506,46.9,46.9,53.1,"Vaz/Obervaz (GR)","Gli elettori di Vaz/Obervaz si sono mostrati scettici nei confronti del potenziamento delle strade nazionali, che è stato respinto con il 53,1 per cento di voti contrari. Vaz/Obervaz ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
3513,78.2,78.2,21.8,"Lantsch/Lenz (GR)","Nel comune di Lantsch/Lenz, i cittadini hanno accolto il potenziamento delle strade nazionali con il 78,2 per cento di voti favorevoli. Lantsch/Lenz ha accolto il testo, così come quanto avvenuto a livello cantonale."
3514,56.1,56.1,43.9,"Schmitten (GR)","Gli elettori di Schmitten GR si sono mostrati favorevoli al potenziamento delle strade nazionali, che ha ricevuto il 56,1 per cento di ""sì"". Schmitten GR ha accolto il testo, così come quanto avvenuto a livello cantonale."
3542,56.1,56.1,43.9,"Albula/Alvra (GR)","Il 56,1 per cento degli elettori di Albula/Alvra ha accolto il potenziamento delle strade nazionali. Albula/Alvra ha accolto il testo, così come quanto avvenuto a livello cantonale."
3543,90,90,10,"Surses (GR)","Nel comune di Surses, i cittadini hanno accolto il potenziamento delle strade nazionali con il 90 per cento di voti favorevoli. Surses ha accolto il testo, così come quanto avvenuto a livello cantonale."
3544,90.5,90.5,9.5,"Bergün Filisur (GR)","Nel comune di Bergün Filisur, i cittadini hanno accolto il potenziamento delle strade nazionali con il 90,5 per cento di voti favorevoli. Bergün Filisur ha accolto il testo, così come quanto avvenuto a livello cantonale."
3551,33.6,33.6,66.4,"Brusio (GR)","Il 66,4 per cento degli elettori di Brusio ha respinto il potenziamento delle strade nazionali. Brusio ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
3561,53.9,53.9,46.1,"Poschiavo (GR)","Gli abitanti di Poschiavo hanno accolto il potenziamento delle strade nazionali con il 53,9 per cento di ""sì"". Poschiavo ha accolto il testo, così come quanto avvenuto a livello cantonale."
3572,26,26,74,"Falera (GR)","Gli abitanti di Falera hanno respinto il potenziamento delle strade nazionali con il 74 per cento di ""no"". Falera ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
3575,15.3,15.3,84.7,"Laax (GR)","I cittadini di Laax hanno respinto il potenziamento delle strade nazionali con il 84,7 per cento di voti contrari. Laax ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
3581,19,19,81,"Sagogn (GR)","Nel comune di Sagogn, i cittadini hanno respinto il potenziamento delle strade nazionali con il 81 per cento di voti contrari. Sagogn ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
3582,30.3,30.3,69.7,"Schluein (GR)","A Schluein gli abitanti si sono opposti al potenziamento delle strade nazionali con il 69,7 per cento di voti a sfavore. Schluein ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
3603,64.2,64.2,35.8,"Vals (GR)","Nel comune di Vals, i cittadini hanno accolto il potenziamento delle strade nazionali con il 64,2 per cento di voti favorevoli. Vals ha accolto il testo, così come quanto avvenuto a livello cantonale."
3618,57.4,57.4,42.6,"Lumnezia (GR)","Il 57,4 per cento degli elettori di Lumnezia ha accolto il potenziamento delle strade nazionali. Lumnezia ha accolto il testo, così come quanto avvenuto a livello cantonale."
3619,37.5,37.5,62.5,"Ilanz/Glion (GR)","I cittadini di Ilanz/Glion hanno respinto il potenziamento delle strade nazionali con il 62,5 per cento di voti contrari. Ilanz/Glion ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
3633,90,90,10,"Fürstenau (GR)","Gli abitanti di Fürstenau hanno accolto il potenziamento delle strade nazionali con il 90 per cento di ""sì"". Fürstenau ha accolto il testo, così come quanto avvenuto a livello cantonale."
3637,44.3,44.3,55.7,"Rothenbrunnen (GR)","I cittadini di Rothenbrunnen hanno respinto il potenziamento delle strade nazionali con il 55,7 per cento di voti contrari. Rothenbrunnen ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
3638,87.2,87.2,12.8,"Scharans (GR)","Il potenziamento delle strade nazionali è stato accolto a Scharans, dove ha riscosso il 87,2 per cento di voti a favore. Scharans ha accolto il testo, così come quanto avvenuto a livello cantonale."
