"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6702,54.1,54.1,45.9,"Boécourt (JU)","A Boécourt, les habitants disent oui à  54,1 pour cent à l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre. Boécourt a approuvé la réforme, tout comme son canton."
6703,24.1,24.1,75.9,"Bourrignon (JU)","Les habitants de Bourrignon s'opposent à l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre par 75,9 pour cent des voix. Bourrignon a rejeté la réforme, contrairement à son canton."
6704,6.7,6.7,93.3,"Châtillon (JU)","L'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre est refusé à 93,3 pour cent à Châtillon (JU). Châtillon (JU) a rejeté la réforme, contrairement à son canton."
6706,39,39,61,"Courchapoix (JU)","A Courchapoix, les citoyens rejettent à 61 pour cent l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre. Courchapoix a rejeté la réforme, contrairement à son canton."
6708,72.6,72.6,27.4,"Courrendlin (JU)","La population de Courrendlin approuve à 72,6 pour cent l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre. Courrendlin a approuvé la réforme, tout comme son canton."
6709,65.8,65.8,34.2,"Courroux (JU)","L'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre est approuvé à Courroux par 65,8 pour cent des votants. Courroux a approuvé la réforme, tout comme son canton."
6710,94.7,94.7,5.3,"Courtételle (JU)","L'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre est approuvé à Courtételle par 94,7 pour cent des votants. Courtételle a approuvé la réforme, tout comme son canton."
6711,55,55,45,"Delémont (JU)","La population de Delémont approuve à 55 pour cent l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre. Delémont a approuvé la réforme, tout comme son canton."
6712,67.2,67.2,32.8,"Develier (JU)","L'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre passe la rampe avec 67,2 pour cent de oui à Develier. Develier a approuvé la réforme, tout comme son canton."
6713,50.9,50.9,49.1,"Ederswiler (JU)","Ederswiler dit oui à 50,9 pour cent à l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre. Ederswiler a approuvé la réforme, tout comme son canton."
6715,49.1,49.1,50.9,"Mervelier (JU)","L'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre n'a pas convaincu à Mervelier. Les citoyens de la commune ont refusé le texte à 50,9 pour cent. Mervelier a rejeté la réforme, contrairement à son canton."
6716,42.8,42.8,57.2,"Mettembert (JU)","Les habitants de Mettembert s'opposent à l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre par 57,2 pour cent des voix. Mettembert a rejeté la réforme, contrairement à son canton."
6718,34.1,34.1,65.9,"Movelier (JU)","C'est non à l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre à Movelier. Les habitants ont refusé le texte à 65,9 pour cent. Movelier a rejeté la réforme, contrairement à son canton."
6719,48.1,48.1,51.9,"Pleigne (JU)","C'est non à l'assouplissement du droit du bail en faveur des propriétaires pour leur besoin propre à Pleigne. Les habitants ont refusé le texte à 51,9 pour cent. Pleigne a rejeté la réforme, contrairement à son canton."
