"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6702,68.6,68.6,31.4,"Boécourt (JU)","A Boécourt, les habitants disent oui à  68,6 pour cent à la réforme favorable à l'extension des projets autoroutiers. Boécourt a approuvé l'arrêté, contrairement à son canton."
6703,40.8,40.8,59.2,"Bourrignon (JU)","Les habitants de Bourrignon s'opposent à la réforme en faveur de l'extension des autoroutes par 59,2 pour cent des voix. Bourrignon a rejeté l'arrêté, tout comme son canton."
6704,68.8,68.8,31.2,"Châtillon (JU)","La population de Châtillon (JU) approuve à 68,8 pour cent la réforme en faveur de l'extension des autoroutes. Châtillon (JU) a approuvé l'arrêté, contrairement à son canton."
6706,47.9,47.9,52.1,"Courchapoix (JU)","A Courchapoix, les citoyens rejettent à 52,1 pour cent la réforme en faveur de l'extension des autoroutes. Courchapoix a rejeté l'arrêté, tout comme son canton."
6708,91.1,91.1,8.9,"Courrendlin (JU)","La population de Courrendlin approuve à 91,1 pour cent la réforme en faveur de l'extension des autoroutes. Courrendlin a approuvé l'arrêté, contrairement à son canton."
6709,51.6,51.6,48.4,"Courroux (JU)","L'extension du réseau des autoroutes est approuvée à Courroux par 51,6 pour cent des votants. Courroux a approuvé l'arrêté, contrairement à son canton."
6710,91.9,91.9,8.1,"Courtételle (JU)","L'extension du réseau des autoroutes est approuvée à Courtételle par 91,9 pour cent des votants. Courtételle a approuvé l'arrêté, contrairement à son canton."
6711,44.2,44.2,55.8,"Delémont (JU)","La réforme en faveur de l'extension des autoroutes est refusée à 55,8 pour cent à Delémont. Delémont a rejeté l'arrêté, tout comme son canton."
6712,41.6,41.6,58.4,"Develier (JU)","La réforme en faveur de l'extension des autoroutes n'a pas trouvé grâce aux yeux des citoyens de Develier. Ils ont refusé le texte à 58,4 pour cent. Develier a rejeté l'arrêté, tout comme son canton."
6713,98.2,98.2,1.8,"Ederswiler (JU)","Ederswiler dit oui à 98,2 pour cent à de la réforme en faveur de l'extension des autoroutes. Le plus fort pourcentage de oui du canton du Jura a été obtenu à Ederswiler."
6715,9.9,9.9,90.1,"Mervelier (JU)","Les projets d'extension du réseau autoroutier n'ont pas convaincu à Mervelier. Les citoyens de la commune ont refusé le texte à 90,1 pour cent. Mervelier a rejeté l'arrêté, tout comme son canton."
6716,19.5,19.5,80.5,"Mettembert (JU)","Les habitants de Mettembert s'opposent à la réforme en faveur de l'extension des autoroutes par 80,5 pour cent des voix. Mettembert a rejeté l'arrêté, tout comme son canton."
6718,31.5,31.5,68.5,"Movelier (JU)","C'est non à la réforme en faveur de l'extension des autoroutes à Movelier. Les habitants ont refusé le texte à 68,5 pour cent. Movelier a rejeté l'arrêté, tout comme son canton."
6719,45.3,45.3,54.7,"Pleigne (JU)","C'est non à la réforme en faveur de l'extension des autoroutes à Pleigne. Les habitants ont refusé le texte à 54,7 pour cent. Pleigne a rejeté l'arrêté, tout comme son canton."
6721,51.4,51.4,48.6,"Rossemaison (JU)","Rossemaison dit oui à 51,4 pour cent à de la réforme en faveur de l'extension des autoroutes. Rossemaison a approuvé l'arrêté, contrairement à son canton."
6722,52.2,52.2,47.8,"Saulcy (JU)","A Saulcy, les habitants disent oui à  52,2 pour cent à la réforme favorable à l'extension des projets autoroutiers. Saulcy a approuvé l'arrêté, contrairement à son canton."
6724,55.1,55.1,44.9,"Soyhières (JU)","La réforme en faveur de l'extension des autoroutes passe la rampe avec 55,1 pour cent de oui à Soyhières. Soyhières a approuvé l'arrêté, contrairement à son canton."
6729,42.3,42.3,57.7,"Haute-Sorne (JU)","C'est non à la réforme en faveur de l'extension des autoroutes à Haute-Sorne. Les habitants ont refusé le texte à 57,7 pour cent. Haute-Sorne a rejeté l'arrêté, tout comme son canton."
6730,97.2,97.2,2.8,"Val Terbi (JU)","Les habitants de Val Terbi acceptent avec 97,2 pour cent de oui la réforme en faveur de l'extension des autoroutes. Val Terbi a approuvé l'arrêté, contrairement à son canton."
6741,12.5,12.5,87.5,"Le Bémont (JU)","Les habitants du Bémont (JU) s'opposent à la réforme en faveur de l'extension des autoroutes par 87,5 pour cent des voix. Le Bémont (JU) a rejeté l'arrêté, tout comme son canton."
6742,43.9,43.9,56.1,"Les Bois (JU)","C'est non à la réforme en faveur de l'extension des autoroutes aux Bois. Les habitants ont refusé le texte à 56,1 pour cent. Les Bois a rejeté l'arrêté, tout comme son canton."
6743,49.3,49.3,50.7,"Les Breuleux (JU)","Aux Breuleux, les citoyens rejettent à 50,7 pour cent la réforme en faveur de l'extension des autoroutes. Les Breuleux a rejeté l'arrêté, tout comme son canton."
6745,45.3,45.3,54.7,"Les Enfers (JU)","Aux Enfers, les citoyens rejettent à 54,7 pour cent la réforme en faveur de l'extension des autoroutes. Les Enfers a rejeté l'arrêté, tout comme son canton."
6748,86.9,86.9,13.1,"Les Genevez (JU)","Les habitants des Genevez (JU) acceptent avec 86,9 pour cent de oui la réforme en faveur de l'extension des autoroutes. Les Genevez (JU) a approuvé l'arrêté, contrairement à son canton."
6750,1.3,1.3,98.7,"Lajoux (JU)","C'est non à la réforme en faveur de l'extension des autoroutes à Lajoux (JU). Les habitants ont refusé le texte à 98,7 pour cent. Le plus fort pourcentage de non du canton du Jura a été obtenu à Lajoux (JU)."
6751,60.9,60.9,39.1,"Montfaucon (JU)","Montfaucon dit oui à 60,9 pour cent à de la réforme en faveur de l'extension des autoroutes. Montfaucon a approuvé l'arrêté, contrairement à son canton."
6753,57.3,57.3,42.7,"Muriaux (JU)","La population de Muriaux approuve à 57,3 pour cent la réforme en faveur de l'extension des autoroutes. Muriaux a approuvé l'arrêté, contrairement à son canton."
