"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6404,0.5,0.5,99.5,"Boudry (NE)","Les habitants de Boudry s'opposent à l'assouplissement du droit du bail dans le domaine de la sous-location par 99,5 pour cent des voix. Le plus fort pourcentage de non du canton de Neuchâtel a été obtenu à Boudry."
6408,74.9,74.9,25.1,"Cortaillod (NE)","L'assouplissement du droit du bail dans le domaine de la sous-location passe la rampe avec 74,9 pour cent de oui à Cortaillod. Cortaillod a approuvé la réforme, contrairement à son canton."
6413,75.6,75.6,24.4,"Rochefort (NE)","Les habitants de Rochefort soutiennent à 75,6 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Rochefort a approuvé la réforme, contrairement à son canton."
6416,30.6,30.6,69.4,"Milvignes (NE)","L'assouplissement du droit du bail dans le domaine de la sous-location n'a pas trouvé grâce aux yeux des citoyens de Milvignes. Ils ont refusé le texte à 69,4 pour cent. Milvignes a rejeté la réforme, tout comme son canton."
6417,38.3,38.3,61.7,"La Grande Béroche (NE)","L'assouplissement du droit du bail dans le domaine de la sous-location n'a pas trouvé grâce aux yeux des citoyens de La Grande Béroche. Ils ont refusé le texte à 61,7 pour cent. La Grande Béroche a rejeté la réforme, tout comme son canton."
6421,62.5,62.5,37.5,"La Chaux-de-Fonds (NE)","L'assouplissement du droit du bail dans le domaine de la sous-location passe la rampe avec 62,5 pour cent de oui à La Chaux-de-Fonds. La Chaux-de-Fonds a approuvé la réforme, contrairement à son canton."
6422,37.2,37.2,62.8,"Les Planchettes (NE)","Aux Planchettes, les citoyens rejettent à 62,8 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Les Planchettes a rejeté la réforme, tout comme son canton."
6423,68.5,68.5,31.5,"La Sagne (NE)","La Sagne dit oui à 68,5 pour cent à de l'assouplissement du droit du bail dans le domaine de la sous-location. La Sagne a approuvé la réforme, contrairement à son canton."
6432,30,30,70,"La Brévine (NE)","Les habitants de La Brévine s'opposent à l'assouplissement du droit du bail dans le domaine de la sous-location par 70 pour cent des voix. La Brévine a rejeté la réforme, tout comme son canton."
6433,80.2,80.2,19.8,"Brot-Plamboz (NE)","A Brot-Plamboz, les habitants disent oui à  80,2 pour cent à l'assouplissement du droit du bail dans le domaine de la sous-location. Brot-Plamboz a approuvé la réforme, contrairement à son canton."
6434,37.4,37.4,62.6,"Le Cerneux-Péquignot (NE)","L'assouplissement du droit du bail dans le domaine de la sous-location n'a pas trouvé grâce aux yeux des citoyens du Cerneux-Péquignot. Ils ont refusé le texte à 62,6 pour cent. Le Cerneux-Péquignot a rejeté la réforme, tout comme son canton."
6435,51.8,51.8,48.2,"La Chaux-du-Milieu (NE)","La Chaux-du-Milieu dit oui à 51,8 pour cent à de l'assouplissement du droit du bail dans le domaine de la sous-location. La Chaux-du-Milieu a approuvé la réforme, contrairement à son canton."
6436,65.6,65.6,34.4,"Le Locle (NE)","L'assouplissement du droit du bail dans le domaine de la sous-location est approuvé au Locle par 65,6 pour cent des votants. Le Locle a approuvé la réforme, contrairement à son canton."
6437,53.6,53.6,46.4,"Les Ponts-de-Martel (NE)","Les habitants des Ponts-de-Martel soutiennent à 53,6 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Les Ponts-de-Martel a approuvé la réforme, contrairement à son canton."
6451,81.5,81.5,18.5,"Cornaux (NE)","La population de Cornaux approuve à 81,5 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Cornaux a approuvé la réforme, contrairement à son canton."
6452,91.2,91.2,8.8,"Cressier (NE)","Les habitants de Cressier (NE) acceptent avec 91,2 pour cent de oui l'assouplissement du droit du bail dans le domaine de la sous-location. Le plus fort pourcentage de oui du canton de Neuchâtel a été obtenu à Cressier (NE)."
6453,25.6,25.6,74.4,"Enges (NE)","Les habitants d'Enges s'opposent à l'assouplissement du droit du bail dans le domaine de la sous-location par 74,4 pour cent des voix. Enges a rejeté la réforme, tout comme son canton."
6454,54.2,54.2,45.8,"Hauterive (NE)","La population de Hauterive (NE) approuve à 54,2 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Hauterive (NE) a approuvé la réforme, contrairement à son canton."
6455,38.8,38.8,61.2,"Le Landeron (NE)","La population du Landeron rejette à 61,2 pour cent des voix l'assouplissement du droit du bail dans le domaine de la sous-location. Le Landeron a rejeté la réforme, tout comme son canton."
6456,14.5,14.5,85.5,"Lignières (NE)","A Lignières, les citoyens rejettent à 85,5 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Lignières a rejeté la réforme, tout comme son canton."
6458,55.7,55.7,44.3,"Neuchâtel (NE)","Les habitants de Neuchâtel soutiennent à 55,7 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Neuchâtel a approuvé la réforme, contrairement à son canton."
6459,1.9,1.9,98.1,"Saint-Blaise (NE)","A Saint-Blaise, les citoyens rejettent à 98,1 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Saint-Blaise a rejeté la réforme, tout comme son canton."
6461,47.7,47.7,52.3,"La Tène (NE)","L'assouplissement du droit du bail dans le domaine de la sous-location est refusé à 52,3 pour cent à La Tène. La Tène a rejeté la réforme, tout comme son canton."
6487,63.1,63.1,36.9,"Val-de-Ruz (NE)","Les habitants de Val-de-Ruz acceptent avec 63,1 pour cent de oui l'assouplissement du droit du bail dans le domaine de la sous-location. Val-de-Ruz a approuvé la réforme, contrairement à son canton."
6504,61.9,61.9,38.1,"La Côte-aux-Fées (NE)","La Côte-aux-Fées dit oui à 61,9 pour cent à de l'assouplissement du droit du bail dans le domaine de la sous-location. La Côte-aux-Fées a approuvé la réforme, contrairement à son canton."
6511,67.3,67.3,32.7,"Les Verrières (NE)","Les habitants des Verrières soutiennent à 67,3 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Les Verrières a approuvé la réforme, contrairement à son canton."
6512,40,40,60,"Val-de-Travers (NE)","L'assouplissement du droit du bail dans le domaine de la sous-location est refusé à 60 pour cent à Val-de-Travers. Val-de-Travers a rejeté la réforme, tout comme son canton."
