"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6404,40.4,40.4,59.6,"Boudry (NE)","Les habitants de Boudry refusent à 59,6 pour cent l'introduction d'un droit à l'intégrité numérique. L'intégrité numérique prévoit le droit d'être protégé contre le traitement abusif des données liées à sa vie numérique, le droit à la sécurité dans l'espace numérique, le droit à une vie hors ligne ainsi que le droit à l'oubli. Les habitants de Boudry ont rejeté le texte, tout comme le canton."
6408,70.1,70.1,29.9,"Cortaillod (NE)","Les habitants de Cortaillod acceptent par 70,1 pour cent des voix l'introduction d'un droit à l'intégrité numérique. L'intégrité numérique prévoit le droit d'être protégé contre le traitement abusif des données liées à sa vie numérique, le droit à la sécurité dans l'espace numérique, le droit à une vie hors ligne ainsi que le droit à l'oubli. Les habitants de Cortaillod ont approuvé le texte, contrairement au canton."
6413,68.8,68.8,31.2,"Rochefort (NE)","C'est oui à 68,8 pour cent à Rochefort à l'introduction d'un droit à l'intégrité numérique. L'intégrité numérique prévoit le droit d'être protégé contre le traitement abusif des données liées à sa vie numérique, le droit à la sécurité dans l'espace numérique, le droit à une vie hors ligne ainsi que le droit à l'oubli. Les habitants de Rochefort ont approuvé le texte, contrairement au canton."
6416,55.6,55.6,44.4,"Milvignes (NE)","Les habitants de Milvignes acceptent par 55,6 pour cent des voix l'introduction d'un droit à l'intégrité numérique. L'intégrité numérique prévoit le droit d'être protégé contre le traitement abusif des données liées à sa vie numérique, le droit à la sécurité dans l'espace numérique, le droit à une vie hors ligne ainsi que le droit à l'oubli. Les habitants de Milvignes ont approuvé le texte, contrairement au canton."
6417,16.2,16.2,83.8,"La Grande Béroche (NE)","Les habitants de La Grande Béroche refusent à 83,8 pour cent l'introduction d'un droit à l'intégrité numérique. L'intégrité numérique prévoit le droit d'être protégé contre le traitement abusif des données liées à sa vie numérique, le droit à la sécurité dans l'espace numérique, le droit à une vie hors ligne ainsi que le droit à l'oubli. Les habitants de La Grande Béroche ont rejeté le texte, tout comme le canton."
6421,94.3,94.3,5.7,"La Chaux-de-Fonds (NE)","Les habitants de La Chaux-de-Fonds acceptent par 94,3 pour cent des voix l'introduction d'un droit à l'intégrité numérique. L'intégrité numérique prévoit le droit d'être protégé contre le traitement abusif des données liées à sa vie numérique, le droit à la sécurité dans l'espace numérique, le droit à une vie hors ligne ainsi que le droit à l'oubli. Les habitants de La Chaux-de-Fonds ont approuvé le texte, contrairement au canton."
6422,28.9,28.9,71.1,"Les Planchettes (NE)","C'est non à 71,1 pour cent à l'introduction d'un droit à l'intégrité numérique aux Planchettes. L'intégrité numérique prévoit le droit d'être protégé contre le traitement abusif des données liées à sa vie numérique, le droit à la sécurité dans l'espace numérique, le droit à une vie hors ligne ainsi que le droit à l'oubli. Les habitants des Planchettes ont rejeté le texte, tout comme le canton."
6423,42.7,42.7,57.3,"La Sagne (NE)","Les habitants de La Sagne refusent à 57,3 pour cent l'introduction d'un droit à l'intégrité numérique. L'intégrité numérique prévoit le droit d'être protégé contre le traitement abusif des données liées à sa vie numérique, le droit à la sécurité dans l'espace numérique, le droit à une vie hors ligne ainsi que le droit à l'oubli. Les habitants de La Sagne ont rejeté le texte, tout comme le canton."
6432,3.9,3.9,96.1,"La Brévine (NE)","Les habitants de La Brévine refusent à 96,1 pour cent l'introduction d'un droit à l'intégrité numérique. L'intégrité numérique prévoit le droit d'être protégé contre le traitement abusif des données liées à sa vie numérique, le droit à la sécurité dans l'espace numérique, le droit à une vie hors ligne ainsi que le droit à l'oubli. Le rejet le plus net de la loi a été enregistré à La Brévine."
6433,63.3,63.3,36.7,"Brot-Plamboz (NE)","C'est oui à 63,3 pour cent à Brot-Plamboz à l'introduction d'un droit à l'intégrité numérique. L'intégrité numérique prévoit le droit d'être protégé contre le traitement abusif des données liées à sa vie numérique, le droit à la sécurité dans l'espace numérique, le droit à une vie hors ligne ainsi que le droit à l'oubli. Les habitants de Brot-Plamboz ont approuvé le texte, contrairement au canton."
6434,28.2,28.2,71.8,"Le Cerneux-Péquignot (NE)","Les habitants du Cerneux-Péquignot refusent à 71,8 pour cent l'introduction d'un droit à l'intégrité numérique. L'intégrité numérique prévoit le droit d'être protégé contre le traitement abusif des données liées à sa vie numérique, le droit à la sécurité dans l'espace numérique, le droit à une vie hors ligne ainsi que le droit à l'oubli. Les habitants du Cerneux-Péquignot ont rejeté le texte, tout comme le canton."
6435,58,58,42,"La Chaux-du-Milieu (NE)","Les habitants de La Chaux-du-Milieu acceptent par 58 pour cent des voix l'introduction d'un droit à l'intégrité numérique. L'intégrité numérique prévoit le droit d'être protégé contre le traitement abusif des données liées à sa vie numérique, le droit à la sécurité dans l'espace numérique, le droit à une vie hors ligne ainsi que le droit à l'oubli. Les habitants de La Chaux-du-Milieu ont approuvé le texte, contrairement au canton."
6436,46.1,46.1,53.9,"Le Locle (NE)","Les habitants du Locle ont refusé avec 53,9 pour cent des voix l'introduction d'un droit à l'intégrité numérique. L'intégrité numérique prévoit le droit d'être protégé contre le traitement abusif des données liées à sa vie numérique, le droit à la sécurité dans l'espace numérique, le droit à une vie hors ligne ainsi que le droit à l'oubli. Les habitants du Locle ont rejeté le texte, tout comme le canton."
6437,39.9,39.9,60.1,"Les Ponts-de-Martel (NE)","C'est non à 60,1 pour cent à l'introduction d'un droit à l'intégrité numérique aux Ponts-de-Martel. L'intégrité numérique prévoit le droit d'être protégé contre le traitement abusif des données liées à sa vie numérique, le droit à la sécurité dans l'espace numérique, le droit à une vie hors ligne ainsi que le droit à l'oubli. Les habitants des Ponts-de-Martel ont rejeté le texte, tout comme le canton."
6451,44.7,44.7,55.3,"Cornaux (NE)","Les habitants de Cornaux ont refusé avec 55,3 pour cent des voix l'introduction d'un droit à l'intégrité numérique. L'intégrité numérique prévoit le droit d'être protégé contre le traitement abusif des données liées à sa vie numérique, le droit à la sécurité dans l'espace numérique, le droit à une vie hors ligne ainsi que le droit à l'oubli. Les habitants de Cornaux ont rejeté le texte, tout comme le canton."
6452,70.7,70.7,29.3,"Cressier (NE)","Les habitants de Cressier (NE) ont approuvé avec 70,7 pour cent des voix l'introduction d'un droit à l'intégrité numérique. L'intégrité numérique prévoit le droit d'être protégé contre le traitement abusif des données liées à sa vie numérique, le droit à la sécurité dans l'espace numérique, le droit à une vie hors ligne ainsi que le droit à l'oubli. Les habitants de Cressier (NE) ont approuvé le texte, contrairement au canton."
