"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
3201,55.7,55.7,44.3,"Häggenschwil SG","Ja zum Bundesbeschluss über den Ausbau der Autobahnen in Häggenschwil. Die Gemeinde hat die Vorlage mit 55,7 Prozent der Stimmen angenommen. Häggenschwil hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3202,89.5,89.5,10.5,"Muolen SG","Die Gemeinde Muolen hat den Bundesbeschluss über den Ausbau der Autobahnen mit 89,5 Prozent Ja-Stimmen angenommen. Muolen hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3203,44.3,44.3,55.7,"St. Gallen SG","55,7 Prozent der Stimmbürgerinnen und Stimmbürger von St. Gallen sagen Nein zum Bundesbeschluss über den Ausbau der Autobahnen. St. Gallen hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3204,91.1,91.1,8.9,"Wittenbach SG","Ja zum Bundesbeschluss über den Ausbau der Autobahnen in Wittenbach. Die Gemeinde hat die Vorlage mit 91,1 Prozent der Stimmen angenommen. Wittenbach hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3211,45.5,45.5,54.5,"Berg SG","In Berg SG hat der Bundesbeschluss über den Ausbau der Autobahnen keine Mehrheit gefunden. Auf 54,5 Prozent der abgegebenen Stimmzettel stand ein Nein. Berg SG hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3212,94.5,94.5,5.5,"Eggersriet SG","94,5 Prozent der Stimmbürgerinnen und Stimmbürger von Eggersriet haben den Bundesbeschluss über den Ausbau der Autobahnen angenommen. Eggersriet hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3213,80.8,80.8,19.2,"Goldach SG","80,8 Prozent der Abstimmenden in der Gemeinde Goldach haben Ja gesagt zum Bundesbeschluss über den Ausbau der Autobahnen. Goldach hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3214,79.5,79.5,20.5,"Mörschwil SG","Ja zum Bundesbeschluss über den Ausbau der Autobahnen in Mörschwil: Mit 79,5 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen. Mörschwil hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3215,54.9,54.9,45.1,"Rorschach SG","54,9 Prozent der Abstimmenden in der Gemeinde Rorschach haben Ja gesagt zum Bundesbeschluss über den Ausbau der Autobahnen. Rorschach hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3216,6.9,6.9,93.1,"Rorschacherberg SG","Nein zum Bundesbeschluss über den Ausbau der Autobahnen in Rorschacherberg: Mit 4'248 Nein- zu 313 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 93,1 Prozent. Rorschacherberg hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3217,89.9,89.9,10.1,"Steinach SG","Ja zum Bundesbeschluss über den Ausbau der Autobahnen in Steinach. Die Gemeinde hat die Vorlage mit 89,9 Prozent der Stimmen angenommen. Steinach hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3218,61,61,39,"Tübach SG","Ja zum Bundesbeschluss über den Ausbau der Autobahnen in Tübach. Die Gemeinde hat die Vorlage mit 61 Prozent der Stimmen angenommen. Tübach hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3219,73.9,73.9,26.1,"Untereggen SG","73,9 Prozent der Stimmbürgerinnen und Stimmbürger von Untereggen haben den Bundesbeschluss über den Ausbau der Autobahnen angenommen. Untereggen hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3231,28.3,28.3,71.7,"Au SG","In Au SG hat die Stimmbevölkerung den Bundesbeschluss über den Ausbau der Autobahnen abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 71,7 Prozent verworfen. Au SG hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3232,6.2,6.2,93.8,"Balgach SG","Keine Mehrheit für den Bundesbeschluss über den Ausbau der Autobahnen in Balgach: Mit 6'179 Nein-Stimmen zu 405 Ja-Stimmen oder 93,8 Prozent hat die Gemeinde die Vorlage verworfen. Balgach hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3233,47,47,53,"Berneck SG","Nein zum Bundesbeschluss über den Ausbau der Autobahnen in Berneck. Die Gemeinde hat die Vorlage mit 53 Prozent abgelehnt. Berneck hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3234,44.5,44.5,55.5,"Diepoldsau SG","In Diepoldsau hat der Bundesbeschluss über den Ausbau der Autobahnen keine Mehrheit gefunden. Auf 55,5 Prozent der abgegebenen Stimmzettel stand ein Nein. Diepoldsau hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3235,44.1,44.1,55.9,"Rheineck SG","Keine Mehrheit für den Bundesbeschluss über den Ausbau der Autobahnen in Rheineck: Mit 4'288 Nein-Stimmen zu 3'385 Ja-Stimmen oder 55,9 Prozent hat die Gemeinde die Vorlage verworfen. Rheineck hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3236,52.6,52.6,47.4,"St. Margrethen SG","Ja zum Bundesbeschluss über den Ausbau der Autobahnen in St. Margrethen: Mit 52,6 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen. St. Margrethen hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3237,85.2,85.2,14.8,"Thal SG","85,2 Prozent der Abstimmenden in der Gemeinde Thal haben Ja gesagt zum Bundesbeschluss über den Ausbau der Autobahnen. Thal hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3238,80,80,20,"Widnau SG","Die Gemeinde Widnau hat den Bundesbeschluss über den Ausbau der Autobahnen mit 80 Prozent angenommen. Widnau hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3251,33.9,33.9,66.1,"Altstätten SG","Keine Mehrheit für den Bundesbeschluss über den Ausbau der Autobahnen in Altstätten: Mit 6'054 Nein-Stimmen zu 3'102 Ja-Stimmen oder 66,1 Prozent hat die Gemeinde die Vorlage verworfen. Altstätten hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3252,3.5,3.5,96.5,"Eichberg SG","In Eichberg hat der Bundesbeschluss über den Ausbau der Autobahnen keine Mehrheit gefunden. Auf 96,5 Prozent der abgegebenen Stimmzettel stand ein Nein. Eichberg hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3253,34.7,34.7,65.3,"Marbach SG","Marbach SG hat den Bundesbeschluss über den Ausbau der Autobahnen mit 65,3 Prozent abgelehnt. Marbach SG hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3254,58.2,58.2,41.8,"Oberriet SG","58,2 Prozent der Stimmbürgerinnen und Stimmbürger von Oberriet SG haben den Bundesbeschluss über den Ausbau der Autobahnen angenommen. Oberriet SG hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3255,65.1,65.1,34.9,"Rebstein SG","Die Gemeinde Rebstein hat den Bundesbeschluss über den Ausbau der Autobahnen mit 65,1 Prozent angenommen. Rebstein hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3256,49.9,49.9,50.1,"Rüthi SG","50,1 Prozent der Stimmbürgerinnen und Stimmbürger von Rüthi SG sagen Nein zum Bundesbeschluss über den Ausbau der Autobahnen. Rüthi SG hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3271,59.8,59.8,40.2,"Buchs SG","Ja zum Bundesbeschluss über den Ausbau der Autobahnen in Buchs SG. Die Gemeinde hat die Vorlage mit 59,8 Prozent der Stimmen angenommen. Buchs SG hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3272,15.7,15.7,84.3,"Gams SG","84,3 Prozent der Stimmbürgerinnen und Stimmbürger von Gams sagen Nein zum Bundesbeschluss über den Ausbau der Autobahnen. Gams hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3273,51,51,49,"Grabs SG","Die Gemeinde Grabs hat den Bundesbeschluss über den Ausbau der Autobahnen mit 51 Prozent Ja-Stimmen angenommen. Grabs hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3274,45.5,45.5,54.5,"Sennwald SG","In Sennwald hat die Stimmbevölkerung den Bundesbeschluss über den Ausbau der Autobahnen abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 54,5 Prozent verworfen. Sennwald hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3275,51,51,49,"Sevelen SG","Ja zum Bundesbeschluss über den Ausbau der Autobahnen in Sevelen. Die Gemeinde hat die Vorlage mit 51 Prozent der Stimmen angenommen. Sevelen hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3276,53.1,53.1,46.9,"Wartau SG","53,1 Prozent der Abstimmenden in der Gemeinde Wartau haben Ja gesagt zum Bundesbeschluss über den Ausbau der Autobahnen. Wartau hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3291,61.1,61.1,38.9,"Bad Ragaz SG","61,1 Prozent der Stimmbürgerinnen und Stimmbürger von Bad Ragaz haben den Bundesbeschluss über den Ausbau der Autobahnen angenommen. Bad Ragaz hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3292,49.6,49.6,50.4,"Flums SG","In Flums hat der Bundesbeschluss über den Ausbau der Autobahnen keine Mehrheit gefunden. Auf 50,4 Prozent der abgegebenen Stimmzettel stand ein Nein. Flums hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3293,91.8,91.8,8.2,"Mels SG","In Mels hat die Stimmbevölkerung dem Bundesbeschluss über den Ausbau der Autobahnen zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 91,8 Prozent angenommen. Mels hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3294,64.2,64.2,35.8,"Pfäfers SG","Die Gemeinde Pfäfers hat den Bundesbeschluss über den Ausbau der Autobahnen mit 64,2 Prozent Ja-Stimmen angenommen. Pfäfers hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3295,9.4,9.4,90.6,"Quarten SG","In Quarten hat der Bundesbeschluss über den Ausbau der Autobahnen keine Mehrheit gefunden. Auf 90,6 Prozent der abgegebenen Stimmzettel stand ein Nein. Quarten hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3296,73.3,73.3,26.7,"Sargans SG","Die Gemeinde Sargans hat den Bundesbeschluss über den Ausbau der Autobahnen mit 73,3 Prozent Ja-Stimmen angenommen. Sargans hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3297,56.5,56.5,43.5,"Vilters-Wangs SG","Ja zum Bundesbeschluss über den Ausbau der Autobahnen in Vilters-Wangs. Die Gemeinde hat die Vorlage mit 56,5 Prozent der Stimmen angenommen. Vilters-Wangs hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3298,39.4,39.4,60.6,"Walenstadt SG","Nein zum Bundesbeschluss über den Ausbau der Autobahnen in Walenstadt: Mit 2'267 Nein- zu 1'477 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 60,6 Prozent. Walenstadt hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3311,96.7,96.7,3.3,"Amden SG","Die Gemeinde Amden hat den Bundesbeschluss über den Ausbau der Autobahnen mit 96,7 Prozent angenommen. Amden hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3312,57.8,57.8,42.2,"Benken SG","57,8 Prozent der Abstimmenden in der Gemeinde Benken SG haben Ja gesagt zum Bundesbeschluss über den Ausbau der Autobahnen. Benken SG hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3313,89.6,89.6,10.4,"Kaltbrunn SG","Ja zum Bundesbeschluss über den Ausbau der Autobahnen in Kaltbrunn: Mit 89,6 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen. Kaltbrunn hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3315,61.6,61.6,38.4,"Schänis SG","Die Gemeinde Schänis hat den Bundesbeschluss über den Ausbau der Autobahnen mit 61,6 Prozent Ja-Stimmen angenommen. Schänis hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3316,42.9,42.9,57.1,"Weesen SG","Nein zum Bundesbeschluss über den Ausbau der Autobahnen in Weesen: Mit 5'038 Nein- zu 3'785 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 57,1 Prozent. Weesen hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3338,26.6,26.6,73.4,"Schmerikon SG","In Schmerikon hat die Stimmbevölkerung den Bundesbeschluss über den Ausbau der Autobahnen abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 73,4 Prozent verworfen. Schmerikon hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3339,57.7,57.7,42.3,"Uznach SG","Die Gemeinde Uznach hat den Bundesbeschluss über den Ausbau der Autobahnen mit 57,7 Prozent angenommen. Uznach hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3340,53.3,53.3,46.7,"Rapperswil-Jona SG","Die Gemeinde Rapperswil-Jona hat den Bundesbeschluss über den Ausbau der Autobahnen mit 53,3 Prozent Ja-Stimmen angenommen. Rapperswil-Jona hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3341,38.4,38.4,61.6,"Gommiswald SG","In Gommiswald hat der Bundesbeschluss über den Ausbau der Autobahnen keine Mehrheit gefunden. Auf 61,6 Prozent der abgegebenen Stimmzettel stand ein Nein. Gommiswald hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3342,96.3,96.3,3.7,"Eschenbach SG","96,3 Prozent der Stimmbürgerinnen und Stimmbürger von Eschenbach SG haben den Bundesbeschluss über den Ausbau der Autobahnen angenommen. Eschenbach SG hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3352,45.1,45.1,54.9,"Ebnat-Kappel SG","Nein zum Bundesbeschluss über den Ausbau der Autobahnen in Ebnat-Kappel. Die Gemeinde hat die Vorlage mit 54,9 Prozent abgelehnt. Ebnat-Kappel hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3359,87.5,87.5,12.5,"Wildhaus-Alt St. Johann SG","87,5 Prozent der Abstimmenden in der Gemeinde Wildhaus-Alt St. Johann haben Ja gesagt zum Bundesbeschluss über den Ausbau der Autobahnen. Wildhaus-Alt St. Johann hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3360,62.5,62.5,37.5,"Nesslau SG","Ja zum Bundesbeschluss über den Ausbau der Autobahnen in Nesslau. Die Gemeinde hat die Vorlage mit 62,5 Prozent der Stimmen angenommen. Nesslau hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3374,1.6,1.6,98.4,"Lichtensteig SG","In Lichtensteig hat die Stimmbevölkerung den Bundesbeschluss über den Ausbau der Autobahnen abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 98,4 Prozent verworfen. Lichtensteig hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton St. Gallen."
3379,93.2,93.2,6.8,"Wattwil SG","Ja zum Bundesbeschluss über den Ausbau der Autobahnen in Wattwil: Mit 93,2 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen. Wattwil hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3392,30.2,30.2,69.8,"Kirchberg SG","Kirchberg SG hat den Bundesbeschluss über den Ausbau der Autobahnen mit 69,8 Prozent abgelehnt. Kirchberg SG hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3393,81.9,81.9,18.1,"Lütisburg SG","Ja zum Bundesbeschluss über den Ausbau der Autobahnen in Lütisburg: Mit 81,9 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen. Lütisburg hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3394,97.2,97.2,2.8,"Mosnang SG","Die Gemeinde Mosnang hat den Bundesbeschluss über den Ausbau der Autobahnen mit 97,2 Prozent angenommen. Mosnang hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3395,98.1,98.1,1.9,"Bütschwil-Ganterschwil SG","Ja zum Bundesbeschluss über den Ausbau der Autobahnen in Bütschwil-Ganterschwil. Die Gemeinde hat die Vorlage mit 98,1 Prozent der Stimmen angenommen. Bütschwil-Ganterschwil hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton St. Gallen."
3396,42.3,42.3,57.7,"Neckertal SG","In Neckertal hat die Stimmbevölkerung den Bundesbeschluss über den Ausbau der Autobahnen abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 57,7 Prozent verworfen. Neckertal hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3401,34.5,34.5,65.5,"Degersheim SG","Keine Mehrheit für den Bundesbeschluss über den Ausbau der Autobahnen in Degersheim: Mit 7'065 Nein-Stimmen zu 3'726 Ja-Stimmen oder 65,5 Prozent hat die Gemeinde die Vorlage verworfen. Degersheim hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3402,58.7,58.7,41.3,"Flawil SG","Ja zum Bundesbeschluss über den Ausbau der Autobahnen in Flawil. Die Gemeinde hat die Vorlage mit 58,7 Prozent der Stimmen angenommen. Flawil hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3405,45.5,45.5,54.5,"Jonschwil SG","Nein zum Bundesbeschluss über den Ausbau der Autobahnen in Jonschwil. Die Gemeinde hat die Vorlage mit 54,5 Prozent abgelehnt. Jonschwil hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3407,50.8,50.8,49.2,"Oberuzwil SG","Ja zum Bundesbeschluss über den Ausbau der Autobahnen in Oberuzwil. Die Gemeinde hat die Vorlage mit 50,8 Prozent der Stimmen angenommen. Oberuzwil hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3408,37,37,63,"Uzwil SG","In Uzwil hat der Bundesbeschluss über den Ausbau der Autobahnen keine Mehrheit gefunden. Auf 63 Prozent der abgegebenen Stimmzettel stand ein Nein. Uzwil hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3422,29.4,29.4,70.6,"Niederbüren SG","Nein zum Bundesbeschluss über den Ausbau der Autobahnen in Niederbüren. Die Gemeinde hat die Vorlage mit 70,6 Prozent abgelehnt. Niederbüren hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3423,27.1,27.1,72.9,"Niederhelfenschwil SG","Nein zum Bundesbeschluss über den Ausbau der Autobahnen in Niederhelfenschwil: Mit 1'361 Nein- zu 507 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 72,9 Prozent. Niederhelfenschwil hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3424,40.7,40.7,59.3,"Oberbüren SG","Oberbüren hat den Bundesbeschluss über den Ausbau der Autobahnen mit 59,3 Prozent abgelehnt. Oberbüren hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3426,66.8,66.8,33.2,"Zuzwil SG","66,8 Prozent der Stimmbürgerinnen und Stimmbürger von Zuzwil SG haben den Bundesbeschluss über den Ausbau der Autobahnen angenommen. Zuzwil SG hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3427,30.3,30.3,69.7,"Wil SG","In Wil SG hat die Stimmbevölkerung den Bundesbeschluss über den Ausbau der Autobahnen abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 69,7 Prozent verworfen. Wil SG hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3441,59.5,59.5,40.5,"Andwil SG","Die Gemeinde Andwil SG hat den Bundesbeschluss über den Ausbau der Autobahnen mit 59,5 Prozent Ja-Stimmen angenommen. Andwil SG hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3442,40.2,40.2,59.8,"Gaiserwald SG","Gaiserwald hat den Bundesbeschluss über den Ausbau der Autobahnen mit 59,8 Prozent abgelehnt. Gaiserwald hat damit anders abgestimmt als der Kanton St. Gallen, der die Vorlage angenommen hat."
3443,53,53,47,"Gossau SG","Ja zum Bundesbeschluss über den Ausbau der Autobahnen in Gossau SG. Die Gemeinde hat die Vorlage mit 53 Prozent der Stimmen angenommen. Gossau SG hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
3444,83.3,83.3,16.7,"Waldkirch SG","83,3 Prozent der Abstimmenden in der Gemeinde Waldkirch haben Ja gesagt zum Bundesbeschluss über den Ausbau der Autobahnen. Waldkirch hat damit gleich wie der Kanton St. Gallen Ja gesagt zu dieser Vorlage."
