"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2401,35.5,35.5,64.5,"Egerkingen SO","In Egerkingen hat die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf keine Mehrheit gefunden. Auf 64,5 Prozent der abgegebenen Stimmzettel stand ein Nein. Egerkingen hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2402,23.4,23.4,76.6,"Härkingen SO","Nein zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Härkingen. Die Gemeinde hat die Vorlage mit 76,6 Prozent abgelehnt. Härkingen hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2403,96,96,4,"Kestenholz SO","96 Prozent der Abstimmenden in der Gemeinde Kestenholz haben Ja gesagt zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf. Kestenholz hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2404,80.1,80.1,19.9,"Neuendorf SO","In Neuendorf hat die Stimmbevölkerung der Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 80,1 Prozent angenommen. Neuendorf hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2405,61.7,61.7,38.3,"Niederbuchsiten SO","61,7 Prozent der Stimmbürgerinnen und Stimmbürger von Niederbuchsiten haben die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf angenommen. Niederbuchsiten hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2406,43.3,43.3,56.7,"Oberbuchsiten SO","Nein zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf  in Oberbuchsiten: Mit 3'945 Nein- zu 3'008 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 56,7 Prozent. Oberbuchsiten hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2407,61.4,61.4,38.6,"Oensingen SO","In Oensingen hat die Stimmbevölkerung der Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 61,4 Prozent angenommen. Oensingen hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2408,34.5,34.5,65.5,"Wolfwil SO","In Wolfwil hat die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf keine Mehrheit gefunden. Auf 65,5 Prozent der abgegebenen Stimmzettel stand ein Nein. Wolfwil hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2421,54.6,54.6,45.4,"Aedermannsdorf SO","In Aedermannsdorf hat die Stimmbevölkerung der Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 54,6 Prozent angenommen. Aedermannsdorf hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2422,26.7,26.7,73.3,"Balsthal SO","Keine Mehrheit für die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Balsthal: Mit 9'813 Nein-Stimmen zu 3'579 Ja-Stimmen oder 73,3 Prozent hat die Gemeinde die Vorlage verworfen. Balsthal hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
