"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1301,51.2,51.2,48.8,"Einsiedeln SZ","Ja zur einheitlichen Finanzierung der Leistungen im Gesundheitswesen in Einsiedeln. Die Gemeinde hat die Vorlage mit 51,2 Prozent der Stimmen angenommen. Einsiedeln hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage abgelehnt hat."
1311,34.9,34.9,65.1,"Gersau SZ","In Gersau hat die einheitliche Finanzierung der Leistungen im Gesundheitswesen keine Mehrheit gefunden: 65,1 Prozent haben die Vorlage abgelehnt. Gersau hat damit gleich wie der Kanton Schwyz Nein gesagt zu dieser Vorlage."
1321,38.8,38.8,61.2,"Feusisberg SZ","61,2 Prozent der Stimmbürgerinnen und Stimmbürger von Feusisberg haben sich gegen die einheitliche Finanzierung der Leistungen im Gesundheitswesen ausgesprochen. Feusisberg hat damit gleich wie der Kanton Schwyz Nein gesagt zu dieser Vorlage."
1322,48.9,48.9,51.1,"Freienbach SZ","51,1 der Stimmbürgerinnen und Stimmbürger von Freienbach haben die einheitliche Finanzierung der Leistungen im Gesundheitswesen abgelehnt. Freienbach hat damit gleich wie der Kanton Schwyz Nein gesagt zu dieser Vorlage."
1323,17.8,17.8,82.2,"Wollerau SZ","Keine Mehrheit für die einheitliche Finanzierung der Leistungen im Gesundheitswesen in Wollerau: Die Vorlage ist mit 82,2 Prozent gescheitert. Wollerau hat damit gleich wie der Kanton Schwyz Nein gesagt zu dieser Vorlage."
1331,40.9,40.9,59.1,"Küssnacht SZ","59,1 Prozent der Stimmbürgerinnen und Stimmbürger von Küssnacht SZ haben sich gegen die einheitliche Finanzierung der Leistungen im Gesundheitswesen ausgesprochen. Küssnacht SZ hat damit gleich wie der Kanton Schwyz Nein gesagt zu dieser Vorlage."
1341,53.7,53.7,46.3,"Altendorf SZ","Mit 53,7 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Altendorf die einheitliche Finanzierung der Leistungen im Gesundheitswesen befürwortet. Altendorf hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage abgelehnt hat."
1342,79.2,79.2,20.8,"Galgenen SZ","Mit 8'356 Ja zu 2'199 Nein hat sich Galgenen für die einheitliche Finanzierung der Leistungen im Gesundheitswesen ausgesprochen. Das entspricht 79,2 Prozent. Galgenen hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage abgelehnt hat."
1343,31.9,31.9,68.1,"Innerthal SZ","68,1 Prozent der Stimmbürgerinnen und Stimmbürger von Innerthal haben sich gegen die einheitliche Finanzierung der Leistungen im Gesundheitswesen ausgesprochen. Innerthal hat damit gleich wie der Kanton Schwyz Nein gesagt zu dieser Vorlage."
1344,42.9,42.9,57.1,"Lachen SZ","57,1 der Stimmbürgerinnen und Stimmbürger von Lachen haben die einheitliche Finanzierung der Leistungen im Gesundheitswesen abgelehnt. Lachen hat damit gleich wie der Kanton Schwyz Nein gesagt zu dieser Vorlage."
1345,43.5,43.5,56.5,"Reichenburg SZ","Mit 7'261 Nein zu 5'583 Ja haben die Stimmbürgerinnen und Stimmbürger von Reichenburg die einheitliche Finanzierung der Leistungen im Gesundheitswesen abgelehnt. Das sind 56,5 Prozent. Reichenburg hat damit gleich wie der Kanton Schwyz Nein gesagt zu dieser Vorlage."
1346,81.9,81.9,18.1,"Schübelbach SZ","81,9 Prozent der Stimmbürgerinnen und Stimmbürger in Schübelbach haben Ja gesagt zur einheitliche Finanzierung der Leistungen im Gesundheitswesen. Schübelbach hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage abgelehnt hat."
1347,47.6,47.6,52.4,"Tuggen SZ","Keine Mehrheit für die einheitliche Finanzierung der Leistungen im Gesundheitswesen in Tuggen: Die Vorlage ist mit 52,4 Prozent gescheitert. Tuggen hat damit gleich wie der Kanton Schwyz Nein gesagt zu dieser Vorlage."
1348,88.2,88.2,11.8,"Vorderthal SZ","Ja zur einheitlichen Finanzierung der Leistungen im Gesundheitswesen in Vorderthal. Die Gemeinde hat die Vorlage mit 88,2 Prozent der Stimmen angenommen. Vorderthal hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Schwyz."
1349,56.2,56.2,43.8,"Wangen SZ","Die einheitliche Finanzierung der Leistungen im Gesundheitswesen ist in Wangen SZ mit 56,2 Prozent der Stimmen angenommen worden. Wangen SZ hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage abgelehnt hat."
1361,39.7,39.7,60.3,"Alpthal SZ","Alpthal hat die einheitliche Finanzierung der Leistungen im Gesundheitswesen mit 60,3 Prozent Nein verworfen. Alpthal hat damit gleich wie der Kanton Schwyz Nein gesagt zu dieser Vorlage."
1362,64,64,36,"Arth SZ","Arth hat der einheitlichen Finanzierung der Leistungen im Gesundheitswesen mit 5'171 Ja- zu 2'915 Nein-Stimmen zugestimmt. Das entspricht einem Ja-Stimmen-Anteil von 64 Prozent. Arth hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage abgelehnt hat."
1363,64.8,64.8,35.2,"Illgau SZ","Mit 64,8 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Illgau die einheitliche Finanzierung der Leistungen im Gesundheitswesen befürwortet. Illgau hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage abgelehnt hat."
1364,81.8,81.8,18.2,"Ingenbohl SZ","Die einheitliche Finanzierung der Leistungen im Gesundheitswesen ist in Ingenbohl mit 81,8 Prozent der Stimmen angenommen worden. Ingenbohl hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage abgelehnt hat."
1365,49.6,49.6,50.4,"Lauerz SZ","Lauerz hat die einheitliche Finanzierung der Leistungen im Gesundheitswesen mit 50,4 Prozent Nein verworfen. Lauerz hat damit gleich wie der Kanton Schwyz Nein gesagt zu dieser Vorlage."
1366,38.7,38.7,61.3,"Morschach SZ","61,3 der Stimmbürgerinnen und Stimmbürger von Morschach haben die einheitliche Finanzierung der Leistungen im Gesundheitswesen abgelehnt. Morschach hat damit gleich wie der Kanton Schwyz Nein gesagt zu dieser Vorlage."
1367,74.6,74.6,25.4,"Muotathal SZ","Ja zur einheitlichen Finanzierung der Leistungen im Gesundheitswesen in Muotathal. Die Gemeinde hat die Vorlage mit 74,6 Prozent der Stimmen angenommen. Muotathal hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage abgelehnt hat."
1368,3.1,3.1,96.9,"Oberiberg SZ","96,9 Prozent der Stimmbürgerinnen und Stimmbürger von Oberiberg haben sich gegen die einheitliche Finanzierung der Leistungen im Gesundheitswesen ausgesprochen. Oberiberg hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Schwyz."
1369,26.7,26.7,73.3,"Riemenstalden SZ","73,3 der Stimmbürgerinnen und Stimmbürger von Riemenstalden haben die einheitliche Finanzierung der Leistungen im Gesundheitswesen abgelehnt. Riemenstalden hat damit gleich wie der Kanton Schwyz Nein gesagt zu dieser Vorlage."
1370,69.2,69.2,30.8,"Rothenthurm SZ","Ja zur einheitlichen Finanzierung der Leistungen im Gesundheitswesen in Rothenthurm. Die Gemeinde hat die Vorlage mit 69,2 Prozent der Stimmen angenommen. Rothenthurm hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage abgelehnt hat."
1371,9.6,9.6,90.4,"Sattel SZ","90,4 Prozent der Stimmbürgerinnen und Stimmbürger von Sattel haben sich gegen die einheitliche Finanzierung der Leistungen im Gesundheitswesen ausgesprochen. Sattel hat damit gleich wie der Kanton Schwyz Nein gesagt zu dieser Vorlage."
1372,50.4,50.4,49.6,"Schwyz SZ","Ja zur einheitlichen Finanzierung der Leistungen im Gesundheitswesen in Schwyz. Die Gemeinde hat die Vorlage mit 50,4 Prozent der Stimmen angenommen. Schwyz hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage abgelehnt hat."
1373,39.5,39.5,60.5,"Steinen SZ","Steinen hat die einheitliche Finanzierung der Leistungen im Gesundheitswesen mit 60,5 Prozent Nein-Stimmen verworfen. Steinen hat damit gleich wie der Kanton Schwyz Nein gesagt zu dieser Vorlage."
1374,86.6,86.6,13.4,"Steinerberg SZ","86,6 Prozent der Stimmbürgerinnen und Stimmbürger in Steinerberg haben Ja gesagt zur einheitliche Finanzierung der Leistungen im Gesundheitswesen. Steinerberg hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage abgelehnt hat."
1375,69.3,69.3,30.7,"Unteriberg SZ","Mit 69,3 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Unteriberg die einheitliche Finanzierung der Leistungen im Gesundheitswesen befürwortet. Unteriberg hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage abgelehnt hat."
