"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
5401,37.4,37.4,62.6,"Aigle (VD)","La population d'Aigle rejette à 62,6 pour cent des voix l'assouplissement du droit du bail dans le domaine de la sous-location. Aigle a rejeté la réforme, tout comme son canton."
5402,37.3,37.3,62.7,"Bex (VD)","L'assouplissement du droit du bail dans le domaine de la sous-location est refusé à 62,7 pour cent à Bex. Bex a rejeté la réforme, tout comme son canton."
5403,52.3,52.3,47.7,"Chessel (VD)","Chessel dit oui à 52,3 pour cent à l'assouplissement du droit du bail dans le domaine de la sous-location. Chessel a approuvé la réforme, contrairement à son canton."
5404,40.6,40.6,59.4,"Corbeyrier (VD)","C'est non à l'assouplissement du droit du bail dans le domaine de la sous-location à Corbeyrier. Les habitants ont refusé le texte à 59,4 pour cent. Corbeyrier a rejeté la réforme, tout comme son canton."
5405,51.1,51.1,48.9,"Gryon (VD)","L'assouplissement du droit du bail dans le domaine de la sous-location passe la rampe avec 51,1 pour cent de oui à Gryon. Gryon a approuvé la réforme, contrairement à son canton."
5406,44.6,44.6,55.4,"Lavey-Morcles (VD)","A Lavey-Morcles, les citoyens rejettent à 55,4 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Lavey-Morcles a rejeté la réforme, tout comme son canton."
5407,44.6,44.6,55.4,"Leysin (VD)","C'est non à l'assouplissement du droit du bail dans le domaine de la sous-location à Leysin. Les habitants ont refusé le texte à 55,4 pour cent. Leysin a rejeté la réforme, tout comme son canton."
5408,60.8,60.8,39.2,"Noville (VD)","L'assouplissement du droit du bail dans le domaine de la sous-location passe la rampe avec 60,8 pour cent de oui à Noville. Noville a approuvé la réforme, contrairement à son canton."
5409,51.9,51.9,48.1,"Ollon (VD)","Les habitants d'Ollon soutiennent à 51,9 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Ollon a approuvé la réforme, contrairement à son canton."
5410,51.3,51.3,48.7,"Ormont-Dessous (VD)","La population d'Ormont-Dessous approuve à 51,3 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Ormont-Dessous a approuvé la réforme, contrairement à son canton."
