"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
5401,50,0,0,"Aigle (VD)","Les résultats ne sont pas encore connus dans cette commune."
5402,36.2,36.2,63.8,"Bex (VD)","L'extension des autoroutes est refusée à 63,8 pour cent à Bex."
5403,49.7,49.7,50.3,"Chessel (VD)","Les habitants de Chessel s'opposent à l'extension des autoroutes par 50,3 pour cent des voix."
5404,33.7,33.7,66.3,"Corbeyrier (VD)","C'est non à l'extension des autoroutes à Corbeyrier. Les habitants ont refusé le texte à 66,3 pour cent."
5405,44.7,44.7,55.3,"Gryon (VD)","L'extension de six tronçons autoroutiers n'a pas trouvé grâce aux yeux des citoyens de Gryon. Ils ont refusé le texte à 55,3 pour cent."
5406,39.1,39.1,60.9,"Lavey-Morcles (VD)","A Lavey-Morcles, les citoyens rejettent à 60,9 pour cent les projets d'extension des autoroutes."
5407,38.3,38.3,61.7,"Leysin (VD)","C'est non à l'extension des autoroutes à Leysin. Les habitants ont refusé le texte à 61,7 pour cent."
5408,51.7,51.7,48.3,"Noville (VD)","Les projets d'extensions autoroutières passent la rampe avec 51,7 pour cent de oui à Noville."
5409,39.9,39.9,60.1,"Ollon (VD)","C'est non à l'extension des autoroutes à Ollon. Les habitants ont refusé le texte à 60,1 pour cent."
5410,50,0,0,"Ormont-Dessous (VD)","Les résultats ne sont pas encore connus dans cette commune."
5411,45.2,45.2,54.8,"Ormont-Dessus (VD)","C'est non à l'extension des autoroutes à Ormont-Dessus. Les habitants ont refusé le texte à 54,8 pour cent."
5412,39.6,39.6,60.4,"Rennaz (VD)","L'extension de six tronçons autoroutiers n'a pas trouvé grâce aux yeux des citoyens de Rennaz. Ils ont refusé le texte à 60,4 pour cent."
5413,40.2,40.2,59.8,"Roche (VD)","A Roche (VD), les citoyens rejettent à 59,8 pour cent les projets d'extension des autoroutes."
5414,39.2,39.2,60.8,"Villeneuve (VD)","A Villeneuve (VD), les citoyens rejettent à 60,8 pour cent les projets d'extension des autoroutes."
5415,41.7,41.7,58.3,"Yvorne (VD)","L'extension de six tronçons autoroutiers n'a pas trouvé grâce aux yeux des citoyens d'Yvorne. Ils ont refusé le texte à 58,3 pour cent."
5422,46.1,46.1,53.9,"Aubonne (VD)","L'extension de six tronçons autoroutiers n'a pas trouvé grâce aux yeux des citoyens d'Aubonne. Ils ont refusé le texte à 53,9 pour cent."
5423,39,39,61,"Ballens (VD)","A Ballens, les citoyens rejettent à 61 pour cent les projets d'extension des autoroutes."
5424,45.2,45.2,54.8,"Berolle (VD)","L'extension des autoroutes est refusée à 54,8 pour cent à Berolle."
5425,43.2,43.2,56.8,"Bière (VD)","Les habitants de Bière s'opposent à l'extension des autoroutes par 56,8 pour cent des voix."
5426,50.9,50.9,49.1,"Bougy-Villars (VD)","Les habitants de Bougy-Villars acceptent à 50,9 pour cent l'élargissement de six tronçons autoroutiers."
5427,54.3,54.3,45.7,"Féchy (VD)","A Féchy, les habitants disent oui à  54,3 pour cent aux projets d'extensions autoroutières."
5428,45.9,45.9,54.1,"Gimel (VD)","La population de Gimel rejette à 54,1 pour cent des voix les projets d'extension des autoroutes."
5429,50.3,50.3,49.7,"Longirod (VD)","La population de Longirod approuve à 50,3 pour cent les projets d'extension des autoroutes."
5430,59.3,59.3,40.7,"Marchissy (VD)","A Marchissy, les habitants disent oui à  59,3 pour cent aux projets d'extensions autoroutières."
5431,43.2,43.2,56.8,"Mollens (VD)","C'est non à l'extension des autoroutes à Mollens (VD). Les habitants ont refusé le texte à 56,8 pour cent."
5434,48.5,48.5,51.5,"Saint-George (VD)","C'est non à l'extension des autoroutes à Saint-George. Les habitants ont refusé le texte à 51,5 pour cent."
5435,51.4,51.4,48.6,"Saint-Livres (VD)","L'extension du réseau des autoroutes est approuvée à Saint-Livres par 51,4 pour cent des votants."
5436,55.8,55.8,44.2,"Saint-Oyens (VD)","Saint-Oyens dit oui à 55,8 pour cent aux projets d'extension des autoroutes."
5437,55.1,55.1,44.9,"Saubraz (VD)","A Saubraz, les habitants disent oui à  55,1 pour cent aux projets d'extensions autoroutières."
5451,51.4,51.4,48.6,"Avenches (VD)","Les habitants d'Avenches soutiennent à 51,4 pour cent l'extension de six tronçons autoroutiers."
5456,51.1,51.1,48.9,"Cudrefin (VD)","A Cudrefin, les habitants disent oui à  51,1 pour cent aux projets d'extensions autoroutières."
5458,48.9,48.9,51.1,"Faoug (VD)","L'extension de six tronçons autoroutiers n'a pas trouvé grâce aux yeux des citoyens de Faoug. Ils ont refusé le texte à 51,1 pour cent."
5464,51.5,51.5,48.5,"Vully-les-Lacs (VD)","A Vully-les-Lacs, les habitants disent oui à  51,5 pour cent aux projets d'extensions autoroutières."
5471,50.5,50.5,49.5,"Bettens (VD)","Les habitants de Bettens soutiennent à 50,5 pour cent l'extension de six tronçons autoroutiers."
