"Gemeinde_de","Text_de","Gemeinde_fr","Text_fr","Gemeinde_it","Text_it"
"Aeugst am Albis ZH","Aeugst am Albis hat die einheitliche Finanzierung der Leistungen im Gesundheitswesen mit 57 Prozent Nein verworfen. Aeugst am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Aeugst am Albis (ZH)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée est refusé à 57 pour cent à Aeugst am Albis. Aeugst am Albis a rejeté la réforme, contrairement à son canton.","Aeugst am Albis (ZH)","I cittadini di Aeugst am Albis hanno respinto il finanziamento uniforme delle prestazioni con il 57 per cento di voti contrari. Aeugst am Albis ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Affoltern am Albis ZH","Keine Mehrheit für die einheitliche Finanzierung der Leistungen im Gesundheitswesen in Affoltern am Albis: Die Vorlage ist mit 54,7 Prozent gescheitert. Affoltern am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Affoltern am Albis (ZH)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée n'a pas convaincu à Affoltern am Albis. Les citoyens de la commune ont refusé le texte à 54,7 pour cent. Affoltern am Albis a rejeté la réforme, contrairement à son canton.","Affoltern am Albis (ZH)","Il 54,7 per cento degli elettori di Affoltern am Albis ha respinto il finanziamento uniforme delle prestazioni. Affoltern am Albis ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Bonstetten ZH","Keine Mehrheit für die einheitliche Finanzierung der Leistungen im Gesundheitswesen in Bonstetten: Die Vorlage ist mit 59,1 Prozent gescheitert. Bonstetten hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Bonstetten (ZH)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée n'a pas convaincu à Bonstetten. Les citoyens de la commune ont refusé le texte à 59,1 pour cent. Bonstetten a rejeté la réforme, contrairement à son canton.","Bonstetten (ZH)","Il 59,1 per cento degli elettori di Bonstetten ha respinto il finanziamento uniforme delle prestazioni. Bonstetten ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Hausen am Albis ZH","70,1 Prozent der Stimmbürgerinnen und Stimmbürger von Hausen am Albis haben sich gegen die einheitliche Finanzierung der Leistungen im Gesundheitswesen ausgesprochen. Hausen am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Hausen am Albis (ZH)","A Hausen am Albis, les citoyens rejettent à 70,1 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Hausen am Albis a rejeté la réforme, contrairement à son canton.","Hausen am Albis (ZH)","Nel comune di Hausen am Albis, i cittadini hanno respinto il finanziamento uniforme delle prestazioni con il 70,1 per cento di voti contrari. Hausen am Albis ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Hedingen ZH","72,8 der Stimmbürgerinnen und Stimmbürger von Hedingen haben die einheitliche Finanzierung der Leistungen im Gesundheitswesen abgelehnt. Hedingen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Hedingen (ZH)","Les habitants de Hedingen s'opposent au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée par 72,8 pour cent des voix. Hedingen a rejeté la réforme, contrairement à son canton.","Hedingen (ZH)","Gli abitanti di Hedingen hanno respinto il finanziamento uniforme delle prestazioni con il 72,8 per cento di ""no"". Hedingen ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Kappel am Albis ZH","55,3 Prozent der Stimmbürgerinnen und Stimmbürger in Kappel am Albis haben Ja gesagt zur einheitliche Finanzierung der Leistungen im Gesundheitswesen. Kappel am Albis hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Kappel am Albis (ZH)","Les habitants de Kappel am Albis acceptent avec 55,3 pour cent de oui le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Kappel am Albis a approuvé la réforme, tout comme son canton.","Kappel am Albis (ZH)","Il 55,3 per cento degli elettori di Kappel am Albis ha accolto il finanziamento uniforme delle prestazioni. Kappel am Albis ha accolto il testo, così come quanto avvenuto a livello cantonale."
"Knonau ZH","93,1 der Stimmbürgerinnen und Stimmbürger von Knonau haben die einheitliche Finanzierung der Leistungen im Gesundheitswesen abgelehnt. Knonau hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Knonau (ZH)","Les habitants de Knonau s'opposent au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée par 93,1 pour cent des voix. Knonau a rejeté la réforme, contrairement à son canton.","Knonau (ZH)","Gli abitanti di Knonau hanno respinto il finanziamento uniforme delle prestazioni con il 93,1 per cento di ""no"". Knonau ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Maschwanden ZH","Mit 4'715 Nein zu 1'998 Ja haben die Stimmbürgerinnen und Stimmbürger von Maschwanden die einheitliche Finanzierung der Leistungen im Gesundheitswesen abgelehnt. Das sind 70,2 Prozent. Maschwanden hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Maschwanden (ZH)","La population de Maschwanden rejette à 70,2 pour cent des voix le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Maschwanden a rejeté la réforme, contrairement à son canton.","Maschwanden (ZH)","A Maschwanden gli abitanti si sono opposti al finanziamento uniforme delle prestazioni con il 70,2 per cento di voti a sfavore. Maschwanden ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Mettmenstetten ZH","58,5 Prozent der Stimmbürgerinnen und Stimmbürger von Mettmenstetten haben sich gegen die einheitliche Finanzierung der Leistungen im Gesundheitswesen ausgesprochen. Mettmenstetten hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Mettmenstetten (ZH)","A Mettmenstetten, les citoyens rejettent à 58,5 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Mettmenstetten a rejeté la réforme, contrairement à son canton.","Mettmenstetten (ZH)","Nel comune di Mettmenstetten, i cittadini hanno respinto il finanziamento uniforme delle prestazioni con il 58,5 per cento di voti contrari. Mettmenstetten ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
"Obfelden ZH","83,5 Prozent der Stimmbürgerinnen und Stimmbürger von Obfelden haben sich gegen die einheitliche Finanzierung der Leistungen im Gesundheitswesen ausgesprochen. Obfelden hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Obfelden (ZH)","A Obfelden, les citoyens rejettent à 83,5 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Obfelden a rejeté la réforme, contrairement à son canton.","Obfelden (ZH)","Nel comune di Obfelden, i cittadini hanno respinto il finanziamento uniforme delle prestazioni con il 83,5 per cento di voti contrari. Obfelden ha respinto il testo, contrariamente a quanto registrato a livello cantonale."
