"Gemeinde_de","Text_de","Gemeinde_fr","Text_fr","Gemeinde_it","Text_it"
"Aeugst am Albis ZH","Die Gemeinde Aeugst am Albis hat den Bundesbeschluss über den Ausbau der Autobahnen mit 56,8 Prozent Ja-Stimmen angenommen. Aeugst am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Aeugst am Albis (ZH)","La population d'Aeugst am Albis approuve à 56,8 pour cent la réforme en faveur de l'extension des autoroutes. Aeugst am Albis a approuvé l'arrêté, contrairement à son canton.","Aeugst am Albis (ZH)","I cittadini di Aeugst am Albis hanno accolto il potenziamento delle strade nazionali con il 56,8 per cento di voti a favore. Aeugst am Albis ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Affoltern am Albis ZH","60 Prozent der Abstimmenden in der Gemeinde Affoltern am Albis haben Ja gesagt zum Bundesbeschluss über den Ausbau der Autobahnen. Affoltern am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Affoltern am Albis (ZH)","Les habitants d'Affoltern am Albis acceptent avec 60 pour cent de oui la réforme en faveur de l'extension des autoroutes. Affoltern am Albis a approuvé l'arrêté, contrairement à son canton.","Affoltern am Albis (ZH)","Il 60 per cento degli elettori di Affoltern am Albis ha accolto il potenziamento delle strade nazionali. Affoltern am Albis ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Bonstetten ZH","52,3 Prozent der Abstimmenden in der Gemeinde Bonstetten haben Ja gesagt zum Bundesbeschluss über den Ausbau der Autobahnen. Bonstetten hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Bonstetten (ZH)","Les habitants de Bonstetten acceptent avec 52,3 pour cent de oui la réforme en faveur de l'extension des autoroutes. Bonstetten a approuvé l'arrêté, contrairement à son canton.","Bonstetten (ZH)","Il 52,3 per cento degli elettori di Bonstetten ha accolto il potenziamento delle strade nazionali. Bonstetten ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Hausen am Albis ZH","Die Gemeinde Hausen am Albis hat den Bundesbeschluss über den Ausbau der Autobahnen mit 78,3 Prozent angenommen. Hausen am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Hausen am Albis (ZH)","A Hausen am Albis, les habitants disent oui à  78,3 pour cent à la réforme favorable à l'extension des projets autoroutiers. Hausen am Albis a approuvé l'arrêté, contrairement à son canton.","Hausen am Albis (ZH)","Nel comune di Hausen am Albis, i cittadini hanno accolto il potenziamento delle strade nazionali con il 78,3 per cento di voti favorevoli. Hausen am Albis ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Hedingen ZH","67,6 Prozent der Stimmbürgerinnen und Stimmbürger von Hedingen sagen Nein zum Bundesbeschluss über den Ausbau der Autobahnen. Hedingen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Hedingen (ZH)","Les habitants de Hedingen s'opposent à la réforme en faveur de l'extension des autoroutes par 67,6 pour cent des voix. Hedingen a rejeté l'arrêté, tout comme son canton.","Hedingen (ZH)","Gli abitanti di Hedingen hanno respinto il potenziamento delle strade nazionali con il 67,6 per cento di ""no"". Hedingen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Kappel am Albis ZH","57,9 Prozent der Abstimmenden in der Gemeinde Kappel am Albis haben Ja gesagt zum Bundesbeschluss über den Ausbau der Autobahnen. Kappel am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Kappel am Albis (ZH)","Les habitants de Kappel am Albis acceptent avec 57,9 pour cent de oui la réforme en faveur de l'extension des autoroutes. Kappel am Albis a approuvé l'arrêté, contrairement à son canton.","Kappel am Albis (ZH)","Il 57,9 per cento degli elettori di Kappel am Albis ha accolto il potenziamento delle strade nazionali. Kappel am Albis ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Knonau ZH","67,7 Prozent der Stimmbürgerinnen und Stimmbürger von Knonau sagen Nein zum Bundesbeschluss über den Ausbau der Autobahnen. Knonau hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Knonau (ZH)","Les habitants de Knonau s'opposent à la réforme en faveur de l'extension des autoroutes par 67,7 pour cent des voix. Knonau a rejeté l'arrêté, tout comme son canton.","Knonau (ZH)","Gli abitanti di Knonau hanno respinto il potenziamento delle strade nazionali con il 67,7 per cento di ""no"". Knonau ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Maschwanden ZH","In Maschwanden hat die Stimmbevölkerung den Bundesbeschluss über den Ausbau der Autobahnen abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 59,2 Prozent verworfen. Maschwanden hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Maschwanden (ZH)","La population de Maschwanden rejette à 59,2 pour cent des voix la réforme en faveur de l'extension des autoroutes. Maschwanden a rejeté l'arrêté, tout comme son canton.","Maschwanden (ZH)","A Maschwanden gli abitanti si sono opposti al potenziamento delle strade nazionali con il 59,2 per cento di voti a sfavore. Maschwanden ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Mettmenstetten ZH","Nein zum Bundesbeschluss über den Ausbau der Autobahnen in Mettmenstetten. Die Gemeinde hat die Vorlage mit 74,7 Prozent abgelehnt. Mettmenstetten hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Mettmenstetten (ZH)","A Mettmenstetten, les citoyens rejettent à 74,7 pour cent la réforme en faveur de l'extension des autoroutes. Mettmenstetten a rejeté l'arrêté, tout comme son canton.","Mettmenstetten (ZH)","Nel comune di Mettmenstetten, i cittadini hanno respinto il potenziamento delle strade nazionali con il 74,7 per cento di voti contrari. Mettmenstetten ha respinto il testo, risultato che si è confermato anche a livello cantonale."
"Obfelden ZH","Nein zum Bundesbeschluss über den Ausbau der Autobahnen in Obfelden. Die Gemeinde hat die Vorlage mit 89,5 Prozent abgelehnt. Obfelden hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Obfelden (ZH)","A Obfelden, les citoyens rejettent à 89,5 pour cent la réforme en faveur de l'extension des autoroutes. Obfelden a rejeté l'arrêté, tout comme son canton.","Obfelden (ZH)","Nel comune di Obfelden, i cittadini hanno respinto il potenziamento delle strade nazionali con il 89,5 per cento di voti contrari. Obfelden ha respinto il testo, risultato che si è confermato anche a livello cantonale."
